,hour,count(date),avg(Trip_distance_abs),stddev_samp(Trip_distance_abs),min(Trip_distance_abs),max(Trip_distance_abs),avg(speed),stddev_samp(speed),min(speed),max(speed),avg(Efficiency),stddev_samp(Efficiency),min(Efficiency),max(Efficiency)
0,7,801817,3.974920387070871,3.6696396141257748,0.01,280.46,0.26983853735391633,0.10183782162609495,0.1700048851978505,1.2483221476510067,1.7649611011192246,21.59454508112408,0.0,5400.0
1,15,1108141,3.787145399367053,3.717671567879882,0.01,310.99,0.24047848349074533,0.07526025192464458,0.17000369412633912,1.2469565217391303,1.6929320262331455,31.939649562900417,0.0,14970.0
2,11,1014436,3.660501115890998,3.4634217079159537,0.01,257.5,0.2566826446235473,0.09367966122627003,0.170003957261575,1.2499999999999998,1.6674679143740068,27.40079912002295,0.0,10800.0
3,3,785790,3.5233017981903574,3.268272958414737,0.01,164.31,0.28266784223727165,0.10302625641164959,0.17000720980533526,1.2413793103448274,1.484296311790858,19.346045647952614,0.0,6000.0
4,8,1001491,3.757427385767825,3.5283486781694218,0.01,439.53,0.2569064275888846,0.09354175523443908,0.17000426075841502,1.2461538461538462,1.774662881125825,21.006835468722038,0.0,4200.0
5,22,1949244,3.3641752033095886,2.9701888559123315,0.01,217.21,0.2578641815558271,0.08482877134923078,0.17000691085003453,1.2452830188679247,1.3894873929218468,18.674060743668893,0.0,8260.0
6,16,1174825,3.678553205796609,3.61349976812385,0.01,346.96,0.2362114426649451,0.07105813790467183,0.17000377786173027,1.2467532467532467,1.6672238077190955,29.453046625430574,0.0,9300.0
7,0,1680373,3.327232126438596,2.9485966360958087,0.01,240.39,0.2656429842242322,0.08944497708354486,0.1700048851978505,1.248,1.4264503491033151,17.271409842114526,0.0,7000.0
8,5,444179,4.507569741027825,4.271574061707239,0.01,267.47,0.3242767446883663,0.13009013133537728,0.17000638162093173,1.2467532467532467,1.768086217915927,18.752871434647798,0.0,3120.0
9,18,1589869,3.3391939587475434,3.1463846730799134,0.01,297.06,0.23634154744354036,0.07043100369156592,0.17000377786173027,1.247457627118644,1.5747032390944518,30.999141186965677,0.0,14520.0
10,17,1270300,3.500228749114388,3.3879083754198964,0.01,378.91,0.2337444753411408,0.06897038335901924,0.1700025994281258,1.248,1.6665272337058985,42.670037753780235,0.0,23400.0
11,6,547364,4.478064596867897,4.085038724778908,0.01,235.5,0.30588614398267566,0.11683340939123149,0.17000871839581516,1.2483221476510067,1.8435859223288227,20.3856603821791,0.0,3900.0
12,19,1851164,3.2201994961008307,2.943491225703063,0.01,391.09,0.24256935665395601,0.07502600249807563,0.1700041545492314,1.2473684210526317,1.4968558074250327,28.210269717140996,0.0,12000.0
13,23,1865758,3.369586982877733,3.0065612384743874,0.01,659.58,0.26134722260052196,0.08634733568191665,0.17000461467466543,1.2468750000000002,1.4360943613883914,22.77800909891616,0.0,10200.0
14,9,1100110,3.665325894683258,3.412445175085972,0.01,280.16,0.25942805251704226,0.0948435142649302,0.17000369412633912,1.2484848484848485,1.715264870512797,20.129107941278654,0.0,3120.0
15,1,1345708,3.2990424668650276,2.9604826265577247,0.01,385.5,0.2708728194401831,0.0924926796350558,0.17000426075841502,1.2444444444444445,1.4173835778891026,16.323207000151438,0.0,6000.0
16,20,1891940,3.2124015085045,2.88527834605396,0.01,220.1,0.2483524245718333,0.0794192523070706,0.1700048851978505,1.248,1.4413000965057434,22.092891742618686,0.0,12000.0
17,10,1056007,3.602089417967876,3.3914214589606555,0.01,375.64,0.25892557722439963,0.09456978147470863,0.1700061462814997,1.2491803278688522,1.665622538458525,24.143895345839876,0.0,7000.0
18,4,648095,3.8858573820196125,3.714579866623667,0.01,360.5,0.2972689162431365,0.11754146484199379,0.17000691085003453,1.2475247524752475,1.5029063838607832,14.713029551393971,0.0,4800.0
19,12,1014344,3.6786662710086486,3.4802001228035495,0.01,217.31,0.25449423286456313,0.09149365623592591,0.17000377786173027,1.248,1.5879510660684915,22.17321744745025,0.0,9300.0
20,13,1028656,3.7039558414085962,3.5904205571864165,0.01,290.93,0.2521053006143234,0.0886891685573397,0.17000255950857435,1.2452830188679247,1.730865962014898,36.36139197584166,0.0,10500.0
21,14,1070478,3.7853830718613546,3.7312328804763446,0.01,374.69,0.24657019484002055,0.08253593959636286,0.17000332557366143,1.2455172413793103,1.7204194319189892,37.87511840939682,0.0,19800.0
22,21,1929574,3.274231747525625,2.971273292473972,0.01,631.1,0.2537098598708334,0.08284155718846817,0.1700050327126321,1.2467532467532467,1.4178755469324726,21.89197429274215,0.0,14940.0
23,2,1013168,3.3570095680084644,3.0319755476314625,0.01,187.46,0.2753788090513006,0.09574782308915229,0.1700082850041425,1.248,1.4491066497898497,16.325803765486626,0.0,6000.0
