,RateCodeID,icon,hour,count
0,1,clear-night,0,1659840
1,2,rain,17,715
2,3,partly-cloudy-night,19,201
3,2,fog,9,156
4,1,snow,10,21291
5,1,rain,4,52396
6,4,clear-night,5,189
7,2,wind,18,644
8,4,rain,19,67
9,4,fog,13,9
10,3,wind,23,39
11,6,fog,18,3
12,3,clear-day,16,1256
13,2,wind,1,57
14,5,partly-cloudy-night,7,3732
15,1,rain,8,122013
16,5,partly-cloudy-day,15,7195
17,5,partly-cloudy-day,6,1024
18,1,wind,16,171563
19,5,rain,20,2881
20,6,clear-day,15,61
21,2,wind,10,219
22,6,rain,15,4
23,4,fog,5,6
24,2,partly-cloudy-night,3,216
25,2,clear-night,19,1542
26,2,partly-cloudy-night,21,296
27,2,partly-cloudy-day,6,181
28,1,partly-cloudy-night,2,254683
29,6,cloudy,22,7
30,1,partly-cloudy-day,18,295203
31,4,partly-cloudy-night,17,29
32,99,clear-night,20,26
33,2,cloudy,4,281
34,6,cloudy,8,7
35,4,wind,6,11
36,1,clear-night,21,1977228
37,1,wind,17,211770
38,4,clear-night,6,268
39,6,clear-night,3,21
40,2,rain,7,395
41,5,fog,17,292
42,4,cloudy,1,74
43,3,fog,19,13
44,6,snow,20,2
45,2,fog,15,158
46,5,clear-day,6,6664
47,6,partly-cloudy-day,20,2
48,6,rain,10,1
49,4,partly-cloudy-day,14,329
50,5,rain,9,4111
51,5,partly-cloudy-night,22,7437
52,1,partly-cloudy-day,11,476263
53,5,clear-night,6,18480
54,3,clear-night,20,505
55,2,wind,4,71
56,3,fog,4,23
57,5,cloudy,8,5816
58,6,clear-night,19,18
59,1,fog,7,25689
60,3,rain,6,102
61,3,snow,6,9
62,6,wind,4,1
63,99,clear-day,17,6
64,5,partly-cloudy-day,9,5207
65,3,partly-cloudy-day,20,125
66,3,fog,9,35
67,99,cloudy,13,1
68,6,fog,1,1
69,3,snow,22,3
70,99,partly-cloudy-day,18,1
71,5,rain,22,2716
72,1,snow,0,10921
73,4,clear-day,7,315
74,2,clear-day,12,5147
75,3,clear-day,10,950
76,4,clear-night,19,219
77,4,wind,7,14
78,2,partly-cloudy-day,13,2329
79,5,snow,21,267
80,6,fog,15,1
81,3,rain,20,85
82,4,snow,18,7
83,1,rain,19,189077
84,99,cloudy,14,1
85,2,cloudy,7,441
86,5,fog,2,299
87,6,rain,2,2
88,4,clear-day,15,611
89,1,clear-day,7,517763
90,5,cloudy,11,4623
91,5,partly-cloudy-night,23,9570
92,6,clear-night,21,43
93,5,wind,5,646
94,5,fog,0,262
95,5,snow,23,207
96,4,snow,14,4
97,4,partly-cloudy-day,19,98
98,6,partly-cloudy-day,9,3
99,5,rain,19,2876
100,5,clear-day,11,19506
101,4,clear-day,9,627
102,3,partly-cloudy-night,1,75
103,3,rain,18,125
104,3,snow,11,15
105,2,cloudy,20,444
106,3,rain,16,160
107,1,partly-cloudy-night,17,50561
108,99,clear-day,10,4
109,3,clear-night,3,552
110,6,wind,6,4
111,1,partly-cloudy-day,14,683014
112,1,partly-cloudy-night,5,109385
113,3,clear-day,18,717
114,5,cloudy,20,3321
115,2,wind,11,331
116,3,partly-cloudy-night,4,200
117,3,snow,8,8
118,99,cloudy,8,1
119,1,wind,23,88797
120,2,wind,5,116
121,4,clear-night,17,164
122,2,partly-cloudy-night,0,147
123,4,partly-cloudy-day,12,110
124,4,rain,6,27
125,1,partly-cloudy-day,20,280065
126,6,cloudy,17,3
127,6,snow,15,1
128,99,clear-day,8,6
129,3,snow,0,3
130,5,rain,17,3387
131,2,partly-cloudy-day,14,3590
132,2,snow,7,38
133,4,partly-cloudy-day,20,121
134,1,clear-day,14,754679
135,1,cloudy,13,129200
136,4,wind,17,88
137,2,snow,1,15
138,4,fog,15,7
139,5,wind,9,2320
140,3,fog,6,34
141,2,clear-day,20,355
142,4,fog,12,8
143,3,wind,19,88
144,2,wind,23,132
145,2,rain,5,356
146,3,wind,3,25
147,1,snow,6,2804
148,5,clear-day,8,29254
149,6,clear-night,1,14
150,4,partly-cloudy-night,0,58
151,99,partly-cloudy-day,12,1
152,1,cloudy,19,240072
153,1,rain,14,116348
154,1,rain,20,180945
155,5,clear-day,19,16361
156,2,partly-cloudy-night,19,933
157,1,clear-night,3,702414
158,5,wind,1,914
159,4,fog,23,16
160,4,rain,21,73
161,1,fog,14,15644
162,1,cloudy,1,131078
163,4,snow,23,5
164,3,snow,4,11
165,1,clear-night,6,332441
166,1,clear-night,5,256329
167,1,fog,9,36067
168,3,clear-night,18,498
169,2,cloudy,13,663
170,4,wind,20,49
171,2,clear-day,14,4115
172,2,wind,22,168
173,6,partly-cloudy-day,13,36
174,2,rain,18,612
175,4,cloudy,16,72
176,3,snow,14,29
177,5,clear-night,22,27053
178,2,rain,11,387
179,1,cloudy,16,170376
180,3,cloudy,16,216
181,4,snow,11,5
182,5,clear-day,9,41819
183,1,cloudy,20,199759
184,5,rain,21,2985
185,5,wind,18,3718
186,1,wind,2,41442
187,3,snow,5,10
188,6,rain,22,1
189,5,clear-night,20,20302
190,3,wind,16,198
191,5,cloudy,19,3947
192,3,rain,10,112
193,5,snow,15,403
194,2,partly-cloudy-night,18,220
195,4,wind,0,32
196,6,partly-cloudy-day,6,1
197,3,rain,7,97
198,5,rain,16,2777
199,1,wind,10,64741
200,1,snow,23,10280
201,4,fog,1,8
202,4,wind,13,43
203,99,clear-day,20,1
204,6,partly-cloudy-day,18,2
205,5,wind,6,974
206,99,clear-night,1,26
207,5,wind,14,3084
208,3,fog,11,21
209,4,snow,20,6
210,6,fog,13,1
211,5,partly-cloudy-day,14,16143
212,5,clear-night,17,8100
213,3,cloudy,1,61
214,4,wind,21,37
215,99,rain,14,2
216,6,rain,14,2
217,2,clear-day,19,2508
218,4,clear-day,18,458
219,6,wind,14,4
220,6,wind,21,2
221,99,partly-cloudy-night,23,1
222,4,wind,22,32
223,6,clear-night,22,42
224,6,wind,10,3
225,5,clear-night,18,15049
226,1,fog,2,12711
227,4,snow,3,2
228,4,cloudy,11,101
229,3,rain,0,55
230,3,wind,10,65
