,RateCodeID,icon,holiday,count
0,1,clear-night,0,12669456
1,99,partly-cloudy-night,0,5
2,3,cloudy,0,1921
3,5,partly-cloudy-day,1,2460
4,2,wind,1,130
5,4,cloudy,1,48
6,1,snow,0,300711
7,4,cloudy,0,1093
8,5,fog,0,12626
9,3,partly-cloudy-night,1,55
10,99,snow,0,2
11,3,clear-day,0,12746
12,2,partly-cloudy-night,0,7292
13,4,partly-cloudy-day,1,53
14,3,snow,0,235
15,2,snow,1,110
16,4,partly-cloudy-night,0,1556
17,6,clear-night,1,12
18,99,snow,1,1
19,5,wind,1,947
20,1,cloudy,1,75706
21,4,wind,0,957
22,3,partly-cloudy-day,0,5506
23,6,partly-cloudy-day,0,206
24,4,fog,1,3
25,3,cloudy,1,74
26,3,rain,0,2307
27,1,clear-day,0,12367337
28,6,partly-cloudy-night,1,4
29,4,clear-night,0,6254
30,2,snow,0,1016
31,99,partly-cloudy-day,0,99
32,4,fog,0,233
33,1,partly-cloudy-night,0,3073906
34,1,partly-cloudy-night,1,71541
35,5,snow,0,6920
36,6,clear-night,0,313
37,4,snow,0,114
38,1,snow,1,35166
39,2,rain,0,9316
40,1,rain,1,49778
41,5,fog,1,88
42,4,clear-day,0,5887
43,99,fog,0,1
44,99,wind,0,15
45,2,partly-cloudy-night,1,176
46,5,rain,0,62978
47,6,cloudy,1,2
48,5,cloudy,1,1672
49,4,snow,1,13
50,99,cloudy,0,6
51,6,clear-day,0,525
52,4,clear-night,1,204
53,1,cloudy,0,2279218
54,5,clear-night,1,8347
55,2,wind,0,7678
56,1,wind,0,2249881
57,3,partly-cloudy-night,0,1914
58,5,rain,1,1095
59,3,rain,1,45
60,1,clear-day,1,251360
61,2,partly-cloudy-day,0,22622
62,1,fog,1,4388
63,2,fog,0,1805
64,5,partly-cloudy-night,0,64132
65,99,rain,0,14
66,2,clear-day,1,1347
67,4,rain,1,29
68,2,fog,1,6
69,1,partly-cloudy-day,0,5441740
70,2,clear-night,1,977
71,3,fog,0,456
72,3,wind,1,25
73,6,snow,0,8
74,5,clear-day,0,316551
75,5,wind,0,48039
76,6,partly-cloudy-night,0,94
77,4,rain,0,1249
78,4,clear-day,1,139
79,3,clear-day,1,341
80,5,partly-cloudy-night,1,1593
81,3,snow,1,52
82,4,partly-cloudy-day,0,2587
83,2,cloudy,1,306
84,6,wind,1,1
85,6,rain,0,79
86,2,clear-day,0,52393
87,6,clear-day,1,13
88,5,partly-cloudy-day,0,131063
89,3,clear-night,1,242
90,2,partly-cloudy-day,1,448
91,6,fog,0,23
92,1,fog,0,433538
93,3,wind,0,1833
94,5,cloudy,0,54074
95,1,rain,0,2843779
96,6,cloudy,0,71
97,2,rain,1,163
98,99,rain,1,1
99,99,clear-night,0,90
100,5,snow,1,778
101,3,clear-night,0,7572
102,6,partly-cloudy-day,1,3
103,2,cloudy,0,7820
104,4,wind,1,12
105,4,partly-cloudy-night,1,35
106,3,fog,1,1
107,5,clear-night,0,263754
108,1,wind,1,36525
109,1,clear-night,1,373680
110,5,clear-day,1,6528
111,1,partly-cloudy-day,1,104023
112,3,partly-cloudy-day,1,124
113,99,clear-day,0,392
114,6,wind,0,66
115,2,clear-night,0,30317
