,year,month,weekofday,hour,Holiday,count
0,2013,8,1,3,0,8
1,2013,11,6,6,0,832
2,2013,11,3,18,0,2392
3,2013,12,0,14,0,4550
4,2014,2,2,11,0,5892
5,2014,3,6,13,0,8159
6,2014,4,2,8,0,9732
7,2014,4,3,17,0,10650
8,2014,4,0,7,0,4620
9,2014,7,4,5,1,635
10,2014,8,1,7,0,4095
11,2014,11,5,13,0,11957
12,2014,11,6,17,0,14179
13,2014,12,1,9,0,11627
14,2015,1,2,1,0,3117
15,2015,2,2,2,0,2309
16,2015,3,0,4,0,2635
17,2015,3,2,8,0,10800
18,2015,5,1,2,0,2282
19,2015,5,2,2,0,2965
20,2015,5,0,20,1,2679
21,2015,6,2,15,0,10019
22,2015,9,2,16,0,12633
23,2015,10,6,11,0,7978
24,2015,10,6,21,0,9935
25,2015,10,1,15,0,8955
26,2015,10,0,22,1,1765
27,2015,11,5,6,0,2983
28,2015,12,4,5,0,1379
29,2016,1,2,10,0,8049
30,2016,5,5,10,0,8510
31,2013,8,2,7,0,16
32,2013,12,1,0,0,2637
33,2013,12,5,1,0,4456
34,2014,1,1,11,0,4208
35,2014,4,1,21,0,11382
36,2014,4,3,6,0,2247
37,2014,4,3,20,0,11279
38,2014,5,3,2,0,3003
39,2014,5,4,7,0,6943
40,2014,6,2,10,0,7116
41,2014,6,3,7,0,5475
42,2014,7,4,18,1,2817
43,2014,7,5,13,0,7472
44,2014,7,6,11,0,5837
45,2014,11,3,1,1,1448
46,2015,1,3,14,1,1462
47,2015,1,4,1,0,6300
48,2015,2,4,18,0,19328
49,2015,2,5,7,0,3713
50,2015,3,4,22,0,18197
51,2015,5,1,19,0,12519
52,2015,6,3,19,0,13928
53,2015,6,5,22,0,17928
54,2015,11,0,6,0,4509
55,2015,12,1,19,0,15677
56,2016,2,1,10,0,7895
57,2016,3,3,12,0,10037
58,2016,3,6,10,0,7215
59,2016,4,4,12,0,9507
60,2016,4,6,4,0,7791
61,2016,5,5,2,0,10105
62,2016,6,2,0,0,6975
63,2016,6,4,15,0,10541
64,2016,6,0,15,0,8457
65,2016,6,6,14,0,9757
66,2013,8,6,16,0,37
67,2013,12,2,6,1,212
68,2014,2,0,6,0,1333
69,2014,2,3,1,0,2581
70,2014,4,6,10,0,5118
71,2014,4,0,8,0,7019
72,2014,5,6,4,0,7429
73,2014,7,1,20,0,9938
74,2014,8,1,2,0,1975
75,2014,8,3,2,0,2773
76,2014,9,4,23,0,15483
77,2014,10,5,0,0,14836
78,2014,11,3,13,0,5871
79,2014,12,0,13,0,9283
80,2014,12,5,20,0,17450
81,2015,2,3,3,0,1792
82,2015,5,0,3,0,1710
83,2015,8,5,14,0,12983
84,2015,8,1,22,0,8949
85,2015,9,2,7,0,8488
86,2015,9,5,0,0,15636
87,2015,11,1,11,0,7705
88,2015,11,1,23,0,7630
89,2015,12,2,9,0,11870
90,2016,1,2,4,0,1331
91,2016,1,2,19,0,12852
92,2016,3,4,4,0,2223
93,2016,4,6,23,0,7643
94,2016,4,3,12,0,7570
95,2016,6,4,13,0,6987
96,2013,8,2,23,0,36
97,2013,8,6,23,0,25
98,2013,11,4,22,0,3928
99,2014,1,3,9,0,6614
100,2014,1,6,22,0,4485
101,2014,1,0,12,0,2906
102,2014,2,5,22,0,11682
103,2014,4,1,5,0,1403
104,2014,5,5,4,0,7231
105,2014,6,3,19,0,11641
106,2014,7,2,3,0,1810
107,2014,8,0,1,0,3877
108,2014,10,5,12,0,8149
109,2014,10,1,10,0,7057
110,2014,11,1,5,0,1255
111,2014,11,2,8,0,10208
112,2014,12,0,17,0,14583
113,2014,12,4,8,0,8743
114,2015,1,6,4,0,7074
115,2015,5,0,7,1,564
116,2015,6,3,1,0,5706
117,2015,7,5,13,0,9065
118,2015,7,5,16,0,12811
119,2015,9,5,5,0,3512
120,2015,9,0,8,1,784
121,2015,10,6,12,0,8964
122,2015,11,3,17,1,3138
123,2016,2,2,0,0,5011
124,2016,3,1,0,0,5644
125,2016,3,1,15,0,11531
126,2016,3,0,7,0,7293
127,2013,8,4,9,0,54
128,2013,8,4,14,0,66
129,2013,8,5,10,0,32
130,2013,8,5,21,0,93
131,2013,9,5,22,0,601
132,2013,10,3,21,0,1815
133,2013,12,6,14,0,4528
134,2013,12,0,3,0,990
135,2013,12,2,4,0,488
136,2014,2,0,4,0,1059
137,2014,2,0,7,1,575
138,2014,8,6,17,0,11913
139,2014,9,3,2,0,2406
140,2014,10,0,22,1,1549
141,2014,11,5,14,0,12954
142,2015,1,3,23,1,1683
143,2015,2,2,18,0,14597
144,2015,6,1,15,0,12660
145,2015,7,3,9,0,11712
146,2015,7,4,9,1,1496
147,2015,8,5,3,0,12385
148,2015,8,4,23,0,16400
149,2015,9,1,1,0,4264
150,2015,9,3,3,0,2090
151,2015,12,5,21,0,15183
152,2015,12,4,7,1,535
153,2016,1,0,6,0,2152
154,2016,1,0,15,0,7035
155,2016,2,3,2,0,2254
156,2016,6,1,4,0,1281
157,2013,8,5,7,0,31
158,2014,1,4,8,0,5953
159,2014,3,1,8,0,7538
160,2014,3,2,19,0,11386
161,2014,4,5,17,0,12272
162,2014,5,4,8,0,10504
163,2014,5,6,17,0,10068
164,2014,5,1,3,0,1630
165,2014,6,6,15,0,11553
166,2014,8,1,0,0,4451
167,2014,9,0,2,1,1429
168,2014,9,4,6,0,2719
169,2014,9,5,17,0,12444
170,2014,10,5,2,0,11498
171,2014,10,0,11,1,1340
172,2014,11,4,8,0,8554
173,2014,11,3,8,1,958
174,2014,12,2,15,0,13982
175,2015,1,3,7,1,1253
176,2015,3,6,9,0,6640
177,2015,3,5,16,0,13804
178,2015,4,6,19,0,12810
179,2015,6,3,17,0,13162
180,2015,8,6,12,0,10029
181,2015,9,1,17,0,13267
182,2015,9,5,22,0,16617
183,2015,9,0,6,1,696
184,2015,10,3,20,0,16484
185,2015,10,2,3,0,1715
186,2015,11,2,1,0,2744
187,2015,11,2,1,1,1037
188,2015,12,6,6,0,2724
189,2016,1,4,10,1,837
190,2016,1,4,14,1,1618
191,2016,1,5,1,0,13554
192,2016,2,1,3,0,1168
193,2016,2,2,6,0,2905
194,2016,4,5,14,0,13643
195,2016,4,2,0,0,5237
196,2013,9,4,7,0,186
197,2013,10,3,16,0,1885
198,2014,1,3,7,0,4386
199,2014,1,0,2,0,786
200,2014,3,1,10,0,6351
201,2014,4,6,20,0,10050
202,2014,5,0,0,1,2447
203,2014,8,6,8,0,3372
204,2014,9,2,6,0,2517
205,2014,9,0,6,0,2676
206,2014,11,1,7,1,1168
207,2014,11,3,9,1,1128
208,2015,2,6,13,0,9671
209,2015,4,6,12,0,9067
210,2015,5,6,10,0,8951
211,2015,6,5,18,0,17371
212,2015,6,6,15,0,12055
213,2015,10,3,23,0,13190
214,2015,10,0,15,0,6538
215,2015,11,3,20,0,10495
216,2015,12,4,2,1,1985
217,2016,1,5,21,0,14137
218,2016,1,1,13,0,7095
219,2016,2,0,2,0,2393
220,2016,2,0,14,1,2368
221,2016,3,0,8,0,10992
222,2016,4,5,16,0,15782
223,2013,10,3,1,0,474
224,2013,11,5,2,0,2738
225,2013,12,5,5,0,1270
226,2014,1,4,18,0,10696
227,2014,2,0,16,0,5277
228,2014,2,1,7,0,4181
229,2014,2,4,11,0,6067
230,2014,3,6,20,0,11072
231,2014,3,0,10,0,8232
232,2014,3,1,17,0,9291
233,2014,4,6,15,0,8683
234,2014,6,2,19,0,11691
235,2014,8,5,20,0,17157
236,2014,8,6,7,0,2787
237,2014,9,2,23,0,7596
238,2014,10,6,18,0,11709
239,2014,12,5,9,0,5908
240,2015,3,6,5,0,6422
241,2015,6,1,7,0,8102
242,2015,6,6,7,0,2892
243,2015,8,1,8,0,8778
244,2015,9,0,2,0,2035
245,2015,10,1,12,0,6877
246,2015,11,3,19,1,3293
247,2016,1,6,23,0,7909
248,2016,1,3,0,0,5623
249,2016,4,5,8,0,6676
250,2016,4,0,3,0,1686
251,2016,5,1,5,0,1974
252,2016,6,6,4,0,6596
253,2016,6,1,12,0,6919
254,2013,8,4,16,0,94
255,2013,8,4,23,0,85
256,2013,8,3,6,0,17
257,2013,8,3,23,0,46
258,2013,8,5,9,0,38
