,hour,count(date),avg(Tip_percentage),stddev_samp(Tip_percentage),min(Tip_percentage),max(Tip_percentage)
0,7,342521,0.20579004887521152,0.07544000702399081,0.00010256410256410257,0.9836065573770492
1,15,380034,0.21029905270971178,0.07507253640581872,0.00010526315789473685,0.9965156794425087
2,11,372982,0.20930560766941592,0.07454703512327272,0.00010989010989010989,0.9975
3,3,278592,0.22195167367994392,0.07882262336215241,5.1282051282051286e-05,0.9873417721518988
4,8,431737,0.20730871047755425,0.0749270535068753,0.00015384615384615385,0.9836065573770492
5,22,805329,0.2220224510767216,0.07447211312208953,7.8125e-05,0.9836065573770492
6,16,418590,0.21816509249803862,0.0780942407354523,0.0001092896174863388,0.9876543209876543
7,0,661282,0.22308014440530533,0.07548125085498232,0.00011235955056179776,0.9966666666666667
8,5,156146,0.21205781141467142,0.08003821189036518,8.333333333333333e-05,0.99873417721519
9,18,623022,0.22263199681461984,0.07720765704871613,0.00014492753623188405,0.9904761904761905
10,17,471173,0.2203244094698234,0.07790194725039556,6.006006006006006e-05,0.9836065573770492
11,6,229471,0.2043847199381264,0.07643247311233137,0.00017699115044247788,0.9926829268292684
12,19,750246,0.22352459466009214,0.07747750798553611,6.84931506849315e-05,0.9876543209876543
13,23,761510,0.22194141623395075,0.07482515419334314,0.00014285714285714287,0.9994999999999999
14,9,470392,0.20830886082771638,0.07425415187483797,0.00014492753623188405,0.9900990099009901
15,1,516933,0.22382794294817246,0.07632765600370889,0.0001941747572815534,0.999
16,20,759262,0.22131194998829323,0.07548570872193403,0.00018867924528301886,0.98989898989899
17,10,409630,0.2094311659234929,0.07463958630734398,8.264462809917356e-05,0.9846153846153847
18,4,196509,0.2194666697029875,0.08261980574897697,0.00017580872011251758,0.9935
19,12,366287,0.20923002784762723,0.07424953573317773,5.747126436781609e-05,0.9900990099009901
20,13,358971,0.20922094364148958,0.07427769288421553,8.097165991902834e-05,0.982608695652174
21,14,363488,0.20937295559284375,0.07460335252213429,9.090909090909092e-05,0.999
22,21,778310,0.22197851243430006,0.07517029867118791,0.0001,0.9943181818181818
23,2,381836,0.22351807380176184,0.07737262166079806,9.132420091324201e-05,0.9955555555555555
