,weekofday,hour,avg(Efficiency),min(Efficiency),max(Efficiency)
0,2,22,1.405583493769781,0.0,3600.0
1,5,10,1.5331878282851295,0.0,7000.0
2,3,17,1.665591403980544,0.0,4000.0
3,4,1,1.468466802651878,0.0,3300.0
4,4,2,1.4683263479980757,0.0,2600.0
5,0,6,1.8020171113920436,0.0,2160.0
6,5,23,1.323363083755056,0.0,3300.0
7,3,10,1.818020167987795,0.0,6200.0
8,5,4,1.4046945006019493,0.0,2250.0
9,6,21,1.3830419784364711,0.0,3120.0
10,0,4,1.5335954267487861,0.0,1040.0
11,1,4,1.6442711981264624,0.0,1050.0
12,2,21,1.4553663030293356,0.0,9860.0
13,3,8,1.7769758154431765,0.0,3120.0
14,1,11,1.7847049502795636,0.0,10800.0
15,4,6,1.9587593816599034,0.0,3900.0
16,5,1,1.3396332252362726,0.0,3120.0
17,5,5,1.6146596106844047,0.0,2700.0
18,2,8,1.8359517338825377,0.0,3120.0
19,1,1,1.6710591943530884,0.0,6000.0
20,0,1,1.4574979591324821,0.0,2100.0
21,0,19,1.488054446829899,0.0,6000.0
22,4,20,1.4612931255675428,0.0,3975.0
23,0,5,1.7985626587342258,0.0,2100.0
24,2,3,1.7088906997136908,0.0,1635.0
25,3,12,1.628274854400031,0.0,1720.0
26,4,8,1.8929099967082978,0.0,4200.0
27,2,0,1.519977124250414,0.0,7000.0
28,6,8,1.771025819495513,0.0,3120.0
29,4,15,2.155033406962249,0.0,8550.0
30,0,22,1.4625344155536038,0.0,3000.0
31,2,13,1.7614612230659918,0.0,8400.0
32,2,23,1.5318947408694978,0.0,9800.0
33,5,22,1.3653817323456445,0.0,7500.0
34,6,6,1.7838551304140604,0.0,3120.0
35,5,16,1.4371611393877568,0.0,4950.0
36,6,12,1.4951980165051522,0.0,3120.0
37,4,19,1.553250857781098,0.0,10500.0
38,4,17,1.9194680208809796,0.0,23400.0
39,4,16,1.6437778575146353,0.0,6000.0
40,1,15,1.7235566228529664,0.0,4800.0
41,1,19,1.416253034864685,0.0,3120.0
42,0,20,1.4730822663889553,0.0,3600.0
43,0,0,1.5553294861574893,0.0,3750.0
44,4,4,1.5908060235405217,0.0,1500.0
45,3,3,1.649252161939279,0.0,6000.0
46,2,2,1.7309080071378349,0.0,6000.0
47,5,12,1.457338555120436,0.0,3120.0
48,6,17,1.5911557602633706,0.0,9000.0
49,6,15,1.4094643516978302,0.0,2400.0
50,2,17,1.6961608146240659,0.0,4500.0
51,5,7,1.8287171714225432,0.0,5400.0
52,2,18,1.5868799909347586,0.0,4837.2
53,1,2,1.64331573764044,0.0,1656.0
54,5,2,1.353460767737202,0.0,1560.0
55,2,14,1.7352785757925113,0.0,4200.0
56,1,17,1.8687095984178204,0.0,14850.0
57,3,23,1.4211444370037953,0.0,4650.0
58,2,11,1.6884384789390023,0.0,6000.0
59,6,18,1.4325899100648498,0.0,7440.0
60,4,12,1.7024257080468663,0.0,9300.0
61,5,0,1.358663388270317,0.0,3120.0
62,2,6,1.8571108113472763,0.0,1980.0
63,6,10,1.6743374198150935,0.0,6400.0
64,2,16,1.8563571669560577,0.0,6900.0
65,5,13,1.5983197526359554,0.0,10500.0
66,0,18,1.5775991803697365,0.0,4650.0
67,0,13,1.907272569444147,0.0,9600.0
68,4,23,1.4074844807660323,0.0,6000.0
69,5,14,1.581873537600383,0.0,13650.0
70,3,16,1.786085151836313,0.0,8400.0
71,5,8,1.5837369204879934,0.0,2400.0
72,6,14,1.5757561451839737,0.0,7349.85
73,1,20,1.443753666665015,0.0,2850.0
74,2,4,1.595123404179798,0.0,1040.0
75,5,3,1.4307042964518946,0.0,4500.0
76,1,5,1.9131936117157171,0.0,1560.0
77,5,19,1.5230854764767419,0.0,12000.0
78,6,19,1.3972030570314649,0.0,3300.0
79,0,10,1.6150755229010085,0.0,3120.0
80,2,19,1.5900554173609673,0.0,11250.0
81,3,11,1.661486561938511,0.0,2280.0
82,0,11,1.6896277522366239,0.0,3120.0
83,3,1,1.4636393035401263,0.0,4900.0
84,0,15,1.7630114790047986,0.0,9300.0
85,1,16,1.8395241434809424,0.0,5700.0
86,1,10,1.6146667297855586,0.0,2220.0
87,3,20,1.45077305669681,0.0,12000.0
88,3,21,1.482214451547685,0.0,14940.0
89,1,3,1.6106077612366327,0.0,1300.0
90,6,7,1.934316772464038,0.0,4000.0
91,6,23,1.4953320855448209,0.0,9960.0
92,0,3,1.4904181493245106,0.0,1040.0
93,3,18,1.6081698935446742,0.0,9100.0
94,3,22,1.3546428976948688,0.0,3000.0
95,4,10,1.6907511354049825,0.0,3986.0
96,1,14,1.7575478088686065,0.0,5250.0
97,1,23,1.5619836338618902,0.0,10200.0
98,6,2,1.3732862292857868,0.0,3120.0
99,2,20,1.4448060169509747,0.0,9000.0
100,3,13,1.8015532094747615,0.0,9000.0
101,5,17,1.5462339478539673,0.0,13974.9
102,3,15,1.8034682836527887,0.0,14970.0
103,1,12,1.6209960620237478,0.0,1560.0
104,3,5,1.8124106510205171,0.0,1950.0
105,3,2,1.5739525209926408,0.0,6000.0
106,1,7,1.7969949879732803,0.0,3120.0
107,3,0,1.496098819624906,0.0,6000.0
108,3,6,1.9051176755908683,0.0,1800.0
109,4,11,1.771262964673886,0.0,4680.0
110,3,4,1.720347218301344,0.0,4800.0
111,6,20,1.37727387969504,0.0,3120.0
112,4,7,1.7877098435809733,0.0,3120.0
113,0,12,1.5948127479510081,0.0,3120.0
114,0,21,1.468321131748326,0.0,4816.8
115,0,23,1.4407506715158338,0.0,2550.0
116,2,12,1.6941348741673192,0.0,8250.0
117,2,1,1.5640107094026345,0.0,2400.0
118,4,18,1.7360012163149765,0.0,9300.0
119,6,0,1.3473925748289821,0.0,3428.5714285714284
120,1,13,1.7176463658895622,0.0,4200.0
121,4,5,1.9613745250179475,0.0,3120.0
122,6,1,1.3398143037272447,0.0,3120.0
123,1,0,1.5081437725404727,0.0,3428.5714285714284
124,4,3,1.6357767235113818,0.0,6000.0
125,5,18,1.5534334700985823,0.0,14520.0
126,0,2,1.5882552189720458,0.0,2250.0
127,0,8,1.7520684929114618,0.0,3075.0
128,1,18,1.5413591450386064,0.0,5400.0
129,1,6,1.8069910061174168,0.0,1050.0
130,5,11,1.5360696922534696,0.0,6900.0
131,0,16,1.8696353112947979,0.0,9300.0
132,3,9,1.6913959173168935,0.0,2700.0
133,2,7,1.7156991634289267,0.0,1650.0
134,1,8,1.7651677489516147,0.0,3120.0
135,1,9,1.7493793998328344,0.0,3120.0
136,6,3,1.3897738805977162,0.0,3000.0
137,6,5,1.6686134601949716,0.0,2100.0
138,5,9,1.564300332351398,0.0,3120.0
139,2,5,1.8545686237586496,0.0,2100.0
140,5,15,1.422690287298114,0.0,5700.0
141,4,22,1.371519164462738,0.0,3120.0
142,6,22,1.4246868031538247,0.0,8260.0
143,3,7,1.7269625651064786,0.0,1950.0
144,4,21,1.357361474737983,0.0,6000.0
145,6,4,1.438072081261224,0.0,3120.0
146,2,15,1.8075146258216597,0.0,8250.0
147,3,19,1.495296244012454,0.0,7960.0
148,5,6,1.7745328189884364,0.0,3000.0
149,4,9,1.794711321182174,0.0,3120.0
150,0,17,1.4592287571682054,0.0,3120.0
151,4,0,1.4152156605833424,0.0,4071.4285714285716
152,0,7,1.6518285897723908,0.0,2100.0
153,1,22,1.3853748987670726,0.0,2400.0
154,6,11,1.6051867994831008,0.0,6600.0
155,4,14,1.8859420480126472,0.0,8400.0
156,4,13,1.8419912984208109,0.0,9600.0
157,6,16,1.4706723095183396,0.0,4200.0
158,1,21,1.4413653714012498,0.0,2850.0
159,2,10,1.725315335079914,0.0,2250.0
160,6,13,1.5774393667265505,0.0,6000.0
161,3,14,1.7025362030947346,0.0,12300.0
162,0,9,1.822373041066957,0.0,3120.0
163,0,14,1.9093979082867805,0.0,19800.0
164,6,9,1.5621319836168512,0.0,1800.0
165,5,21,1.3690688772741428,0.0,4800.0
166,5,20,1.4350579808133532,0.0,7470.0
167,2,9,1.7812214046308146,0.0,3120.0
