,year,month,avg(Fare_amount_abs)
0,2014,2,12.017728347999778
1,2014,11,12.369708615200357
2,2014,8,12.785319489851188
3,2014,5,12.913299852339392
4,2014,12,12.2883157966371
5,2015,11,12.264862266533482
6,2014,3,12.082307342027763
7,2014,6,12.873780606222793
8,2015,5,12.753934128700362
9,2014,7,12.695531310318179
10,2015,4,12.381479685699407
11,2016,6,12.542668050566439
12,2015,1,11.796351437619176
13,2015,8,12.520919715755543
14,2013,11,12.394259503273187
15,2014,4,12.33996221226669
16,2013,8,13.933221828676373
17,2014,10,12.553858667735986
18,2016,5,12.537677587006698
19,2014,9,12.80222773742136
20,2015,2,12.112513280798558
21,2015,3,12.195697107932672
22,2013,12,12.282541576841412
23,2015,10,12.414425685786805
24,2016,3,12.032676261566753
25,2015,6,12.52180051718623
26,2015,9,12.576445248794927
27,2016,2,11.787167188933468
28,2015,12,12.291659899645083
29,2014,1,11.838163355941122
30,2016,1,11.983635974911518
31,2013,10,12.55064079337445
32,2016,4,12.255552918697571
33,2015,7,12.48320510666674
34,2013,9,13.222284125929054
