,RateCodeID,icon,hour,count
0,1,clear-night,0,1659840
1,2,rain,17,715
2,3,partly-cloudy-night,19,201
3,2,,22,135
4,2,fog,9,156
5,1,snow,10,21291
6,5,,10,1332
7,1,rain,4,52396
8,4,clear-night,5,189
9,2,wind,18,644
10,4,rain,19,67
11,4,fog,13,9
12,3,wind,23,39
13,6,fog,18,3
14,3,clear-day,16,1256
15,2,wind,1,57
16,5,partly-cloudy-night,7,3732
17,1,rain,8,122013
18,3,,17,86
19,5,partly-cloudy-day,15,7195
20,5,partly-cloudy-day,6,1024
21,1,wind,16,171563
22,5,rain,20,2881
23,6,clear-day,15,61
24,2,wind,10,219
25,6,rain,15,4
26,4,fog,5,6
27,2,partly-cloudy-night,3,216
28,2,clear-night,19,1542
29,2,partly-cloudy-night,21,296
30,2,partly-cloudy-day,6,181
31,1,partly-cloudy-night,2,254683
32,6,cloudy,22,7
33,1,partly-cloudy-day,18,295203
34,4,partly-cloudy-night,17,29
35,99,clear-night,20,26
36,2,cloudy,4,281
37,6,cloudy,8,7
38,4,wind,6,11
39,1,clear-night,21,1977228
40,1,wind,17,211770
41,4,clear-night,6,268
42,6,clear-night,3,21
43,2,rain,7,395
44,5,fog,17,292
45,4,cloudy,1,74
46,3,fog,19,13
47,6,snow,20,2
48,2,fog,15,158
49,5,clear-day,6,6664
50,6,partly-cloudy-day,20,2
51,6,rain,10,1
52,4,partly-cloudy-day,14,329
53,5,rain,9,4111
54,5,partly-cloudy-night,22,7437
55,1,partly-cloudy-day,11,476263
56,5,clear-night,6,18480
57,3,clear-night,20,505
58,2,wind,4,71
59,3,fog,4,23
60,5,cloudy,8,5816
61,6,clear-night,19,18
62,1,fog,7,25689
63,3,rain,6,102
64,3,snow,6,9
65,6,wind,4,1
66,99,clear-day,17,6
67,5,partly-cloudy-day,9,5207
68,3,partly-cloudy-day,20,125
69,3,fog,9,35
70,99,cloudy,13,1
71,6,fog,1,1
72,3,snow,22,3
73,99,partly-cloudy-day,18,1
74,5,rain,22,2716
75,1,snow,0,10921
76,4,clear-day,7,315
77,4,,1,14
78,4,,2,19
79,2,clear-day,12,5147
80,3,clear-day,10,950
81,4,clear-night,19,219
82,4,wind,7,14
83,2,partly-cloudy-day,13,2329
84,5,snow,21,267
85,6,fog,15,1
86,3,rain,20,85
87,4,snow,18,7
88,1,rain,19,189077
89,5,,23,2098
90,99,cloudy,14,1
91,2,cloudy,7,441
92,5,fog,2,299
93,3,,10,49
94,6,rain,2,2
95,99,,9,4
96,4,clear-day,15,611
97,1,clear-day,7,517763
98,5,cloudy,11,4623
99,5,partly-cloudy-night,23,9570
100,6,clear-night,21,43
101,5,wind,5,646
102,5,fog,0,262
103,5,snow,23,207
104,4,snow,14,4
105,4,partly-cloudy-day,19,98
106,6,partly-cloudy-day,9,3
107,5,,4,517
108,6,,21,1
109,5,rain,19,2876
110,5,clear-day,11,19506
111,4,clear-day,9,627
112,3,partly-cloudy-night,1,75
113,3,rain,18,125
114,3,snow,11,15
115,2,cloudy,20,444
116,3,rain,16,160
117,1,partly-cloudy-night,17,50561
118,99,clear-day,10,4
119,3,clear-night,3,552
120,2,,21,170
121,6,wind,6,4
122,3,,8,38
123,1,,4,19967
124,1,partly-cloudy-day,14,683014
125,1,partly-cloudy-night,5,109385
126,3,clear-day,18,717
127,5,cloudy,20,3321
128,2,wind,11,331
129,3,partly-cloudy-night,4,200
130,3,snow,8,8
131,1,,11,53831
132,99,cloudy,8,1
133,1,wind,23,88797
134,2,wind,5,116
135,4,clear-night,17,164
136,2,partly-cloudy-night,0,147
137,4,partly-cloudy-day,12,110
138,4,rain,6,27
139,1,partly-cloudy-day,20,280065
140,6,cloudy,17,3
141,4,,6,5
142,6,snow,15,1
143,99,clear-day,8,6
144,5,,1,380
145,3,snow,0,3
146,5,rain,17,3387
147,2,partly-cloudy-day,14,3590
148,2,snow,7,38
149,4,partly-cloudy-day,20,121
150,1,clear-day,14,754679
151,1,cloudy,13,129200
152,4,wind,17,88
153,2,snow,1,15
154,4,fog,15,7
155,5,wind,9,2320
156,3,fog,6,34
157,2,clear-day,20,355
158,4,fog,12,8
159,2,,8,119
160,5,,5,482
161,3,wind,19,88
162,2,wind,23,132
163,2,rain,5,356
164,3,wind,3,25
165,1,snow,6,2804
166,1,,1,22173
167,5,clear-day,8,29254
168,6,clear-night,1,14
169,4,partly-cloudy-night,0,58
170,99,partly-cloudy-day,12,1
171,1,cloudy,19,240072
172,1,rain,14,116348
173,1,rain,20,180945
174,5,clear-day,19,16361
175,2,partly-cloudy-night,19,933
176,4,,20,53
177,1,clear-night,3,702414
178,5,wind,1,914
179,4,fog,23,16
180,4,rain,21,73
181,1,fog,14,15644
182,1,cloudy,1,131078
183,4,snow,23,5
184,2,,3,40
185,3,snow,4,11
186,1,clear-night,6,332441
187,1,clear-night,5,256329
188,1,fog,9,36067
189,3,clear-night,18,498
190,2,cloudy,13,663
191,4,wind,20,49
192,2,clear-day,14,4115
193,2,wind,22,168
194,6,partly-cloudy-day,13,36
195,2,rain,18,612
196,4,cloudy,16,72
197,3,snow,14,29
198,3,,12,70
199,5,clear-night,22,27053
200,2,rain,11,387
201,1,cloudy,16,170376
202,3,cloudy,16,216
203,4,snow,11,5
204,5,clear-day,9,41819
205,1,cloudy,20,199759
206,5,rain,21,2985
207,5,wind,18,3718
208,1,wind,2,41442
209,3,snow,5,10
210,4,,8,18
211,6,rain,22,1
212,2,,0,10
213,5,clear-night,20,20302
214,3,wind,16,198
215,5,cloudy,19,3947
216,3,rain,10,112
217,5,snow,15,403
218,2,partly-cloudy-night,18,220
219,4,wind,0,32
220,6,partly-cloudy-day,6,1
221,3,rain,7,97
222,5,rain,16,2777
223,1,wind,10,64741
224,1,snow,23,10280
225,4,fog,1,8
226,4,wind,13,43
227,99,clear-day,20,1
228,6,partly-cloudy-day,18,2
229,5,wind,6,974
230,99,clear-night,1,26
231,5,wind,14,3084
232,4,,15,38
233,3,fog,11,21
234,4,snow,20,6
235,6,fog,13,1
236,5,partly-cloudy-day,14,16143
