,RateCodeID,icon,holiday,count
0,1,clear-night,0,12669456
1,99,partly-cloudy-night,0,5
2,3,cloudy,0,1921
3,5,partly-cloudy-day,1,2460
4,2,wind,1,130
5,4,cloudy,1,48
6,1,snow,0,300711
7,4,cloudy,0,1093
8,5,fog,0,12626
9,3,partly-cloudy-night,1,55
10,99,snow,0,2
11,3,clear-day,0,12746
12,2,partly-cloudy-night,0,7292
13,4,partly-cloudy-day,1,53
14,3,snow,0,235
15,2,snow,1,110
16,4,partly-cloudy-night,0,1556
17,6,clear-night,1,12
18,99,snow,1,1
19,5,wind,1,947
20,1,cloudy,1,75706
21,2,,0,3927
22,4,wind,0,957
23,3,partly-cloudy-day,0,5506
24,6,partly-cloudy-day,0,206
25,4,fog,1,3
26,3,cloudy,1,74
27,3,rain,0,2307
28,1,clear-day,0,12367337
29,6,partly-cloudy-night,1,4
30,4,clear-night,0,6254
31,2,snow,0,1016
32,99,partly-cloudy-day,0,99
33,4,fog,0,233
34,1,partly-cloudy-night,0,3073906
35,1,partly-cloudy-night,1,71541
36,5,snow,0,6920
37,6,clear-night,0,313
38,4,snow,0,114
39,1,snow,1,35166
40,2,rain,0,9316
41,1,rain,1,49778
42,5,fog,1,88
43,4,clear-day,0,5887
44,99,fog,0,1
45,99,wind,0,15
46,2,partly-cloudy-night,1,176
47,5,rain,0,62978
48,6,cloudy,1,2
49,5,cloudy,1,1672
50,4,snow,1,13
51,99,cloudy,0,6
52,6,clear-day,0,525
53,5,,0,30566
54,4,clear-night,1,204
55,1,cloudy,0,2279218
56,5,clear-night,1,8347
57,2,wind,0,7678
58,1,wind,0,2249881
59,3,partly-cloudy-night,0,1914
60,5,rain,1,1095
61,3,rain,1,45
62,1,clear-day,1,251360
63,2,partly-cloudy-day,0,22622
64,1,fog,1,4388
65,2,fog,0,1805
66,5,partly-cloudy-night,0,64132
67,99,rain,0,14
68,2,clear-day,1,1347
69,4,rain,1,29
70,2,fog,1,6
71,1,partly-cloudy-day,0,5441740
72,2,clear-night,1,977
73,3,fog,0,456
74,3,wind,1,25
75,6,snow,0,8
76,5,clear-day,0,316551
77,5,wind,0,48039
78,6,partly-cloudy-night,0,94
79,4,rain,0,1249
80,4,clear-day,1,139
81,3,clear-day,1,341
82,3,,0,1096
83,5,partly-cloudy-night,1,1593
84,3,snow,1,52
85,4,partly-cloudy-day,0,2587
86,2,cloudy,1,306
87,6,wind,1,1
88,6,rain,0,79
89,2,clear-day,0,52393
90,6,clear-day,1,13
91,6,,0,32
92,5,partly-cloudy-day,0,131063
93,3,clear-night,1,242
94,2,partly-cloudy-day,1,448
95,6,fog,0,23
96,1,fog,0,433538
97,1,,0,1415970
98,3,wind,0,1833
99,5,cloudy,0,54074
100,1,rain,0,2843779
101,6,cloudy,0,71
102,2,rain,1,163
103,99,rain,1,1
104,99,clear-night,0,90
105,5,snow,1,778
106,3,clear-night,0,7572
107,6,partly-cloudy-day,1,3
108,99,,0,8
109,2,cloudy,0,7820
110,4,wind,1,12
111,4,,0,747
112,4,partly-cloudy-night,1,35
113,3,fog,1,1
114,5,clear-night,0,263754
115,1,wind,1,36525
116,1,clear-night,1,373680
117,5,clear-day,1,6528
118,1,partly-cloudy-day,1,104023
119,3,partly-cloudy-day,1,124
120,99,clear-day,0,392
121,6,wind,0,66
122,2,clear-night,0,30317
