,RateCodeID,icon,weekofday,count
0,1,clear-night,0,1330997
1,99,partly-cloudy-day,6,3
2,1,rain,4,375977
3,4,clear-night,5,1474
4,3,cloudy,0,265
5,5,partly-cloudy-day,1,18860
6,4,partly-cloudy-day,5,413
7,2,partly-cloudy-day,5,2941
8,2,wind,1,994
9,5,partly-cloudy-day,6,15620
10,2,partly-cloudy-night,3,1010
11,4,fog,5,40
12,2,partly-cloudy-day,6,3183
13,1,partly-cloudy-night,2,294008
14,4,cloudy,6,97
15,2,cloudy,4,1402
16,4,wind,6,153
17,5,clear-day,6,35785
18,4,clear-night,6,1291
19,6,clear-night,3,35
20,4,cloudy,1,126
21,99,wind,6,2
22,5,partly-cloudy-day,4,21832
23,5,clear-night,6,44872
24,2,wind,4,1166
25,3,fog,4,64
26,3,cloudy,3,373
27,3,rain,6,198
28,99,wind,4,2
29,3,snow,6,70
30,6,wind,4,9
31,6,fog,1,1
32,4,,1,86
33,1,snow,0,81200
34,4,,2,204
35,1,partly-cloudy-day,3,840885
36,4,cloudy,0,154
37,6,rain,2,7
38,5,fog,2,2196
39,5,wind,5,5976
40,5,fog,0,2312
41,5,,4,1876
42,3,partly-cloudy-night,1,252
43,6,cloudy,3,9
44,99,snow,0,1
45,4,clear-day,2,847
46,99,wind,3,1
47,3,clear-day,0,1807
48,3,clear-night,3,1108
49,6,wind,6,13
50,99,partly-cloudy-day,1,3
51,1,,4,109982
52,1,partly-cloudy-night,5,718950
53,3,partly-cloudy-night,4,374
54,2,partly-cloudy-night,0,900
55,2,wind,5,914
56,4,partly-cloudy-day,1,321
57,4,rain,6,140
58,4,,6,155
59,5,,1,3968
60,3,snow,0,100
61,99,partly-cloudy-day,2,8
62,2,snow,1,138
63,3,fog,6,42
64,5,,5,8292
65,3,wind,3,298
66,2,rain,5,1396
67,1,,1,170489
68,1,snow,6,88110
69,6,clear-night,1,34
70,4,partly-cloudy-night,0,163
71,99,snow,1,2
72,5,clear-day,2,46989
73,1,clear-night,3,1684968
74,5,wind,1,7192
75,1,cloudy,1,283491
76,99,partly-cloudy-day,3,71
77,3,snow,4,26
78,2,,3,14
79,1,clear-night,5,2851525
80,1,clear-night,6,2367612
81,1,wind,2,294922
82,3,snow,5,28
83,2,,0,355
84,2,clear-day,5,7300
85,4,wind,0,101
