,hour,icon,count
0,5,cloudy,49533
1,11,wind,94334
2,3,wind,23886
3,6,partly-cloudy-night,40247
4,1,wind,49389
5,17,snow,24495
6,10,clear-day,991315
7,6,clear-day,133562
8,19,wind,215149
9,23,fog,22840
10,7,,20807
11,0,partly-cloudy-night,121637
12,18,fog,13966
13,19,snow,22384
14,15,,82085
15,5,clear-night,272275
16,11,,55534
17,2,snow,6441
18,17,clear-night,420603
19,3,,24729
20,6,wind,17770
21,18,partly-cloudy-day,301513
22,9,clear-day,1327680
23,16,snow,24708
24,5,partly-cloudy-night,115992
25,14,snow,16532
26,3,fog,12589
27,9,partly-cloudy-day,166844
28,6,partly-cloudy-day,20333
29,22,clear-night,1560061
30,13,cloudy,133475
31,8,,36283
32,17,partly-cloudy-day,905530
33,22,,104116
34,4,wind,17848
35,20,cloudy,203703
36,10,fog,27231
37,17,fog,11877
38,16,,88658
39,0,,12323
40,22,partly-cloudy-night,423405
41,18,snow,28635
42,6,snow,2988
43,15,fog,24241
44,16,cloudy,175176
45,8,snow,19175
46,13,snow,12796
47,0,snow,11150
48,16,rain,156184
49,5,,11517
50,7,clear-day,543360
51,22,rain,166391
52,18,,107536
53,21,clear-night,2017968
54,20,clear-day,152787
55,11,clear-day,746435
56,17,partly-cloudy-night,51810
57,17,,98091
58,1,rain,95079
59,20,rain,184372
60,2,rain,80480
61,22,cloudy,161201
62,5,snow,4270
63,13,clear-day,878511
64,19,fog,22119
65,10,snow,22071
66,11,partly-cloudy-day,491925
67,22,fog,26758
68,0,wind,66229
69,8,rain,126672
70,18,wind,230322
71,18,clear-day,1168652
72,8,clear-day,833347
73,16,wind,176070
74,6,,12306
75,16,clear-day,1172705
76,1,cloudy,134116
77,20,partly-cloudy-night,466200
78,19,rain,192590
79,2,clear-night,681775
80,19,clear-day,987731
81,12,clear-day,1240061
82,0,fog,11801
83,3,snow,4822
84,22,snow,9421
85,19,,113013
86,20,partly-cloudy-day,285988
87,23,,113972
88,4,partly-cloudy-night,136924
89,7,rain,81662
90,16,partly-cloudy-day,647698
91,20,wind,152963
92,21,rain,191895
93,4,cloudy,59194
94,23,clear-night,1252506
95,12,wind,85031
96,1,partly-cloudy-night,228487
97,4,rain,54604
98,14,clear-day,779118
99,12,fog,14681
100,9,wind,75698
101,11,fog,15617
102,2,wind,42384
103,7,cloudy,93383
104,23,cloudy,210997
105,19,partly-cloudy-night,377442
106,16,fog,23782
107,12,partly-cloudy-day,209643
108,6,rain,43950
109,11,cloudy,172450
110,23,rain,157240
111,8,fog,40991
112,10,wind,66971
113,1,clear-night,1075618
114,15,rain,134332
115,10,cloudy,119225
116,14,fog,16210
117,19,partly-cloudy-day,228612
118,12,rain,109003
119,11,snow,12481
120,19,cloudy,244853
121,14,rain,119912
122,23,wind,90595
123,18,partly-cloudy-night,84986
124,7,clear-night,183655
125,1,fog,16859
126,21,snow,15064
127,19,clear-night,597420
128,7,partly-cloudy-night,86053
129,4,clear-night,479782
130,3,rain,53058
131,3,partly-cloudy-night,107062
132,9,,50801
133,4,snow,6655
134,17,cloudy,205437
135,13,fog,15417
136,17,wind,216774
137,1,,22607
138,20,,105919
139,18,rain,198271
140,10,partly-cloudy-day,317167
141,0,rain,134539
142,15,partly-cloudy-day,340956
143,13,rain,101108
144,23,snow,10522
145,12,snow,13944
146,9,snow,20276
147,10,,49984
148,15,clear-day,1469609
149,14,wind,133239
150,13,partly-cloudy-day,495264
151,6,clear-night,355125
152,20,snow,16516
153,7,snow,9562
154,21,wind,121626
155,9,rain,135772
156,21,fog,10124
157,20,fog,14735
158,17,rain,197509
159,23,partly-cloudy-night,541533
160,14,cloudy,183098
161,9,fog,37586
162,4,,20581
163,18,clear-night,868470
164,2,fog,13048
165,13,wind,79931
166,20,clear-night,1179978
167,21,partly-cloudy-night,180017
168,12,,57515
169,22,wind,103281
170,5,wind,13712
171,15,wind,185563
172,7,wind,35337
173,15,snow,21351
174,17,clear-day,590686
175,13,,61163
176,4,fog,12128
177,14,partly-cloudy-day,704112
178,3,clear-night,721588
179,10,rain,112299
180,2,cloudy,110851
181,21,,106707
182,14,,72185
183,7,partly-cloudy-day,113252
184,8,cloudy,165319
185,5,rain,36667
186,2,partly-cloudy-night,260508
187,6,fog,12056
188,5,fog,9433
189,2,,23914
190,8,wind,52007
191,7,fog,27079
192,8,partly-cloudy-day,482097
193,1,snow,8867
194,11,rain,107244
195,0,clear-night,1694394
