,weekofday,hour,icon,count
0,3,10,clear-day,153518
1,0,6,clear-night,56409
2,1,2,partly-cloudy-night,15208
3,4,19,cloudy,26863
4,3,11,fog,2530
5,6,22,snow,4227
6,2,22,,22379
7,5,10,,13931
8,2,6,clear-night,51868
9,1,11,cloudy,19458
10,2,17,cloudy,22069
11,6,14,clear-day,122108
12,2,5,wind,1158
13,4,16,cloudy,13398
14,6,3,partly-cloudy-night,51712
15,6,20,partly-cloudy-day,43501
16,1,4,fog,366
17,1,18,clear-day,149583
18,6,15,wind,31775
19,0,17,clear-night,62821
20,0,1,partly-cloudy-night,14085
21,4,0,snow,2033
22,1,17,partly-cloudy-night,2903
23,6,21,partly-cloudy-night,10844
24,2,12,clear-day,165503
25,6,12,clear-day,191506
26,1,9,clear-day,200488
27,0,5,clear-night,33820
28,2,13,cloudy,23444
29,0,6,wind,1485
30,2,0,clear-night,149121
31,5,23,partly-cloudy-night,142046
32,3,11,rain,13785
33,6,3,wind,12199
34,2,23,wind,11238
35,5,2,rain,21911
36,2,0,wind,5307
37,1,6,snow,808
38,2,14,partly-cloudy-day,91979
39,1,19,clear-night,83402
40,4,7,partly-cloudy-day,16894
41,6,9,wind,7931
42,0,13,cloudy,17916
43,1,5,wind,1479
44,4,12,rain,14696
45,6,16,rain,13355
46,4,20,wind,22869
47,3,15,clear-day,213240
48,0,20,cloudy,16640
49,4,23,clear-night,273629
50,6,23,cloudy,6959
51,0,1,wind,2874
52,0,18,snow,5370
53,6,21,snow,6580
54,2,19,clear-day,131043
55,6,5,wind,5374
56,1,1,partly-cloudy-night,12279
57,5,12,fog,5647
58,5,11,rain,14537
59,5,16,cloudy,29155
60,6,20,snow,7414
61,3,5,snow,187
62,1,5,snow,475
63,5,1,fog,3081
64,2,20,clear-day,18494
65,0,9,snow,4252
66,3,12,snow,1770
67,6,14,fog,2270
68,2,19,rain,39605
69,3,3,clear-night,55945
70,4,19,clear-night,130865
71,1,10,clear-day,134079
72,1,11,wind,12562
73,3,6,fog,1607
74,5,20,snow,3392
75,6,0,fog,4798
76,6,23,rain,7824
77,0,14,fog,4314
78,1,22,rain,25039
79,3,7,cloudy,22970
80,4,16,fog,1621
81,4,17,fog,1796
82,5,11,fog,3750
83,2,15,fog,6057
84,5,10,wind,8348
85,2,7,partly-cloudy-day,13770
86,1,7,clear-day,80458
87,4,9,partly-cloudy-day,32719
88,1,18,partly-cloudy-night,12950
89,4,21,clear-night,379741
90,5,9,clear-day,151040
91,4,4,snow,517
92,5,15,rain,19357
93,3,10,snow,2501
94,2,10,snow,1614
95,0,6,,648
96,0,8,wind,8788
97,5,21,fog,3516
98,3,3,fog,552
99,1,14,partly-cloudy-day,87175
100,0,8,partly-cloudy-day,72773
101,5,5,cloudy,11077
102,3,18,clear-night,119430
103,5,23,,36266
104,3,22,snow,426
105,2,8,snow,1055
106,3,23,clear-night,176914
107,5,13,wind,10349
108,1,19,wind,34499
109,4,1,cloudy,26082
110,5,23,rain,35301
111,2,10,wind,10791
112,1,6,rain,9322
113,6,21,,20462
114,5,4,,11272
115,4,7,clear-night,34661
116,4,0,fog,557
117,4,16,rain,16926
118,6,6,partly-cloudy-day,1314
119,1,20,fog,3146
120,6,0,partly-cloudy-night,31509
