,weekofday,hour,icon,date,count
0,0,9,clear-day,2013-08-05 00:00:00,1
1,4,15,wind,2013-08-09 00:00:00,6
2,3,13,clear-day,2013-08-15 00:00:00,6
3,3,22,rain,2013-09-12 00:00:00,67
4,1,11,partly-cloudy-day,2013-09-24 00:00:00,104
5,1,14,partly-cloudy-day,2013-10-08 00:00:00,171
6,0,15,clear-day,2013-11-18 00:00:00,659
7,0,17,clear-night,2013-11-18 00:00:00,755
8,3,4,wind,2013-11-28 00:00:00,341
9,4,12,clear-day,2013-12-13 00:00:00,861
10,0,18,clear-night,2013-12-16 00:00:00,1277
11,6,4,rain,2013-12-22 00:00:00,825
12,1,0,clear-night,2013-12-24 00:00:00,592
13,0,7,fog,2014-01-06 00:00:00,779
14,5,5,clear-night,2014-01-25 00:00:00,458
15,6,3,clear-night,2014-01-26 00:00:00,1500
16,2,5,snow,2014-02-05 00:00:00,115
17,2,15,clear-day,2014-02-19 00:00:00,1682
18,2,17,clear-day,2014-02-19 00:00:00,2190
19,5,4,clear-night,2014-03-22 00:00:00,1550
20,6,1,clear-night,2014-03-23 00:00:00,3290
21,6,0,clear-night,2014-04-06 00:00:00,3852
22,2,12,clear-day,2014-04-09 00:00:00,1606
23,4,17,partly-cloudy-day,2014-04-25 00:00:00,3072
24,4,19,clear-day,2014-04-25 00:00:00,3681
25,2,17,rain,2014-04-30 00:00:00,3601
26,2,21,rain,2014-04-30 00:00:00,2987
27,6,23,clear-night,2014-05-25 00:00:00,2607
28,3,19,clear-day,2014-06-12 00:00:00,3035
29,5,0,clear-night,2014-07-12 00:00:00,3560
30,6,20,clear-day,2014-07-13 00:00:00,1848
31,0,14,partly-cloudy-day,2014-07-14 00:00:00,1608
32,5,22,clear-night,2014-08-02 00:00:00,3787
33,3,0,clear-night,2014-08-14 00:00:00,1530
34,4,12,partly-cloudy-day,2014-08-15 00:00:00,1626
35,2,13,clear-day,2014-08-27 00:00:00,1639
36,0,23,partly-cloudy-night,2014-09-15 00:00:00,1439
37,0,12,clear-day,2014-09-29 00:00:00,1586
38,4,7,clear-night,2014-10-31 00:00:00,1584
39,6,13,wind,2014-11-02 00:00:00,2039
40,0,9,partly-cloudy-day,2014-11-03 00:00:00,2128
41,6,2,clear-night,2014-11-09 00:00:00,3484
42,1,14,clear-day,2014-11-11 00:00:00,1697
43,2,3,fog,2014-11-12 00:00:00,383
44,3,12,clear-day,2014-11-13 00:00:00,1896
45,4,15,clear-day,2014-11-14 00:00:00,2663
46,1,4,wind,2014-11-18 00:00:00,342
47,1,10,wind,2014-11-18 00:00:00,2000
48,3,5,clear-night,2014-12-04 00:00:00,457
49,4,21,partly-cloudy-night,2014-12-12 00:00:00,4672
50,3,23,clear-night,2014-12-18 00:00:00,3211
51,6,8,clear-day,2014-12-21 00:00:00,950
52,5,20,clear-night,2015-01-10 00:00:00,4372
53,3,6,partly-cloudy-night,2015-01-15 00:00:00,705
54,5,4,rain,2015-01-24 00:00:00,1258
55,2,19,clear-night,2015-01-28 00:00:00,3241
56,4,20,clear-night,2015-02-06 00:00:00,4570
57,0,5,clear-night,2015-02-09 00:00:00,382
58,5,14,clear-day,2015-03-07 00:00:00,3055
59,5,21,clear-night,2015-03-07 00:00:00,4856
60,4,5,partly-cloudy-night,2015-03-20 00:00:00,504
61,4,20,snow,2015-03-20 00:00:00,4357
62,1,5,cloudy,2015-04-07 00:00:00,359
63,1,5,cloudy,2015-04-14 00:00:00,354
64,5,1,clear-night,2015-05-02 00:00:00,3876
65,0,4,clear-night,2015-05-04 00:00:00,496
66,3,20,clear-day,2015-05-14 00:00:00,3631
67,6,4,rain,2015-05-17 00:00:00,1967
68,2,12,clear-day,2015-06-10 00:00:00,1948
69,2,11,,2015-06-17 00:00:00,2019
70,4,9,clear-day,2015-06-26 00:00:00,2460
71,4,2,partly-cloudy-night,2015-07-10 00:00:00,981
72,4,15,clear-day,2015-07-10 00:00:00,2808
73,5,13,clear-day,2015-07-11 00:00:00,2407
74,5,18,clear-day,2015-07-25 00:00:00,3696
75,2,9,clear-day,2015-07-29 00:00:00,2375
76,5,0,clear-night,2015-08-01 00:00:00,4165
77,5,20,clear-night,2015-08-15 00:00:00,3823
78,1,16,clear-day,2015-09-15 00:00:00,2180
79,3,18,clear-day,2015-09-17 00:00:00,3478
80,6,6,partly-cloudy-night,2015-09-20 00:00:00,807
81,3,2,clear-night,2015-09-24 00:00:00,671
82,4,4,clear-night,2015-09-25 00:00:00,502
83,2,2,partly-cloudy-night,2015-10-07 00:00:00,627
84,6,6,clear-night,2015-11-15 00:00:00,759
85,2,1,cloudy,2015-11-18 00:00:00,832
86,2,8,clear-day,2015-11-18 00:00:00,2717
87,3,8,clear-day,2015-12-03 00:00:00,2622
88,4,4,partly-cloudy-night,2015-12-25 00:00:00,1168
89,5,6,clear-night,2015-12-26 00:00:00,431
90,3,4,cloudy,2016-01-14 00:00:00,380
91,4,21,partly-cloudy-night,2016-01-15 00:00:00,3711
92,6,12,clear-day,2016-01-17 00:00:00,2035
93,6,16,snow,2016-01-17 00:00:00,2955
94,0,13,partly-cloudy-day,2016-01-18 00:00:00,1869
95,3,17,clear-night,2016-01-21 00:00:00,3183
96,3,3,clear-night,2016-01-28 00:00:00,436
97,5,18,clear-night,2016-01-30 00:00:00,4101
98,0,18,clear-night,2016-02-08 00:00:00,3029
99,6,16,snow,2016-02-14 00:00:00,3273
100,4,15,clear-day,2016-02-19 00:00:00,2618
101,6,19,rain,2016-02-21 00:00:00,2873
102,0,3,clear-night,2016-02-22 00:00:00,301
103,6,18,clear-night,2016-03-06 00:00:00,3016
104,4,18,clear-night,2016-03-11 00:00:00,4099
105,4,6,clear-night,2016-04-01 00:00:00,821
106,2,7,clear-day,2016-04-06 00:00:00,1792
107,6,15,clear-day,2016-04-24 00:00:00,2488
108,6,12,rain,2016-05-01 00:00:00,2200
109,6,11,rain,2016-05-01 00:00:00,1966
110,3,18,clear-day,2016-05-05 00:00:00,3699
111,6,19,clear-day,2016-05-08 00:00:00,3143
112,2,18,clear-day,2016-05-11 00:00:00,3033
113,0,4,clear-night,2016-05-16 00:00:00,527
114,6,0,rain,2016-05-22 00:00:00,3883
115,3,16,clear-day,2016-05-26 00:00:00,2569
116,6,20,partly-cloudy-day,2016-05-29 00:00:00,2517
117,6,19,clear-day,2016-06-19 00:00:00,2894
118,6,18,clear-day,2013-08-11 00:00:00,1
119,0,13,clear-day,2013-08-26 00:00:00,20
120,1,19,clear-day,2013-08-27 00:00:00,35
121,0,23,partly-cloudy-night,2013-09-16 00:00:00,55
122,2,21,clear-night,2013-09-18 00:00:00,101
123,6,8,fog,2013-10-06 00:00:00,69
