,date,Payment_type,count
0,2013-10-23 00:00:00,,4564
1,2014-02-18 00:00:00,,4136
2,2014-07-01 00:00:00,1.0,26229
3,2014-09-12 00:00:00,1.0,31209
4,2014-11-18 00:00:00,2.0,496
5,2015-05-30 00:00:00,3.0,69
6,2015-06-23 00:00:00,3.0,54
7,2015-07-03 00:00:00,5.0,1
8,2015-08-29 00:00:00,1.0,4574
9,2015-12-05 00:00:00,4.0,12
10,2016-03-08 00:00:00,3.0,11
11,2016-05-02 00:00:00,3.0,77
12,2016-06-24 00:00:00,5.0,2
13,2016-06-29 00:00:00,4.0,49
14,2014-04-10 00:00:00,,2
15,2014-10-12 00:00:00,1.0,20491
16,2015-02-17 00:00:00,1.0,12743
17,2015-03-07 00:00:00,4.0,125
18,2015-03-20 00:00:00,1.0,17972
19,2015-07-13 00:00:00,3.0,31
20,2015-09-25 00:00:00,5.0,1
21,2015-11-15 00:00:00,1.0,22099
22,2015-12-04 00:00:00,2.0,16174
23,2015-12-23 00:00:00,2.0,13807
24,2015-12-31 00:00:00,1.0,20202
25,2016-01-03 00:00:00,2.0,17745
26,2016-01-30 00:00:00,4.0,85
27,2016-02-12 00:00:00,4.0,68
28,2016-03-11 00:00:00,5.0,1
29,2016-04-17 00:00:00,3.0,20
30,2016-04-27 00:00:00,2.0,12947
31,2016-05-10 00:00:00,3.0,24
32,2016-05-19 00:00:00,5.0,2
33,2016-05-22 00:00:00,4.0,70
34,2016-05-26 00:00:00,1.0,13799
35,2013-12-08 00:00:00,,13450
36,2014-07-10 00:00:00,2.0,469
37,2014-07-11 00:00:00,1.0,30624
38,2014-10-04 00:00:00,2.0,621
39,2014-12-16 00:00:00,2.0,526
40,2015-03-04 00:00:00,5.0,1
41,2015-03-28 00:00:00,1.0,26746
42,2015-05-18 00:00:00,5.0,1
43,2015-09-17 00:00:00,2.0,13724
44,2015-10-25 00:00:00,3.0,96
45,2016-04-04 00:00:00,3.0,83
46,2016-04-20 00:00:00,2.0,12074
47,2016-06-04 00:00:00,4.0,76
48,2016-06-20 00:00:00,4.0,64
49,2014-02-17 00:00:00,2.0,6
50,2014-07-27 00:00:00,1.0,37112
51,2015-01-05 00:00:00,3.0,64
52,2015-01-11 00:00:00,2.0,19718
53,2015-01-17 00:00:00,4.0,110
54,2015-04-30 00:00:00,4.0,64
55,2015-06-26 00:00:00,3.0,77
56,2015-08-28 00:00:00,2.0,17109
57,2015-09-17 00:00:00,1.0,14662
58,2015-11-08 00:00:00,4.0,87
59,2015-11-25 00:00:00,3.0,67
60,2016-01-01 00:00:00,5.0,3
61,2016-04-02 00:00:00,3.0,134
62,2016-06-23 00:00:00,2.0,12149
63,2013-12-21 00:00:00,,19065
64,2014-10-07 00:00:00,1.0,24989
65,2014-10-22 00:00:00,2.0,520
66,2014-10-30 00:00:00,2.0,550
67,2014-11-06 00:00:00,1.0,28876
68,2014-11-21 00:00:00,2.0,544
69,2014-12-09 00:00:00,2.0,497
70,2015-02-04 00:00:00,1.0,10861
71,2015-05-16 00:00:00,5.0,1
72,2015-06-06 00:00:00,2.0,25200
73,2015-07-10 00:00:00,1.0,16433
74,2015-09-28 00:00:00,5.0,2
75,2015-12-07 00:00:00,4.0,52
76,2016-01-20 00:00:00,2.0,12174
77,2016-01-30 00:00:00,1.0,22774
78,2016-04-03 00:00:00,2.0,19308
79,2016-05-29 00:00:00,5.0,1
80,2014-05-07 00:00:00,2.0,441
81,2014-08-03 00:00:00,2.0,512
82,2014-09-10 00:00:00,1.0,25499
83,2014-10-24 00:00:00,2.0,540
84,2015-01-16 00:00:00,3.0,50
85,2015-01-23 00:00:00,1.0,17125
86,2015-03-25 00:00:00,4.0,86
87,2015-04-27 00:00:00,5.0,1
88,2015-07-22 00:00:00,3.0,48
89,2015-08-01 00:00:00,4.0,122
90,2015-09-14 00:00:00,3.0,56
91,2015-10-25 00:00:00,2.0,20297
92,2016-04-20 00:00:00,4.0,55
93,2016-04-27 00:00:00,3.0,85
94,2016-06-12 00:00:00,1.0,18574
95,2014-08-12 00:00:00,2.0,442
96,2014-09-17 00:00:00,2.0,474
97,2015-01-02 00:00:00,1.0,13506
98,2015-01-18 00:00:00,1.0,21861
99,2015-01-22 00:00:00,1.0,15447
100,2015-02-07 00:00:00,2.0,21608
101,2015-03-31 00:00:00,3.0,57
102,2015-06-08 00:00:00,1.0,13977
103,2015-08-31 00:00:00,3.0,70
104,2015-10-05 00:00:00,3.0,59
105,2015-12-24 00:00:00,3.0,87
106,2016-01-06 00:00:00,5.0,1
107,2014-05-27 00:00:00,1.0,23262
108,2014-07-03 00:00:00,1.0,27875
109,2015-01-02 00:00:00,4.0,84
110,2015-06-10 00:00:00,4.0,101
111,2015-09-02 00:00:00,2.0,14250
112,2015-09-12 00:00:00,4.0,81
113,2015-10-14 00:00:00,5.0,2
114,2015-11-17 00:00:00,3.0,58
115,2015-12-14 00:00:00,5.0,1
116,2016-03-21 00:00:00,1.0,14357
117,2016-04-02 00:00:00,4.0,97
118,2016-06-01 00:00:00,3.0,70
119,2013-08-23 00:00:00,,255
120,2013-10-10 00:00:00,,2925
121,2013-12-06 00:00:00,,12528
122,2014-02-06 00:00:00,1.0,70
123,2014-09-30 00:00:00,2.0,428
124,2015-01-09 00:00:00,2.0,16635
