,date,hour,icon,count
0,2016-01-05 00:00:00,17,clear-night,2840
1,2016-01-08 00:00:00,0,clear-night,1594
2,2016-01-08 00:00:00,3,clear-night,552
3,2016-01-08 00:00:00,5,partly-cloudy-night,350
4,2016-01-27 00:00:00,8,clear-day,2615
5,2016-01-27 00:00:00,23,clear-night,2142
6,2016-01-31 00:00:00,10,partly-cloudy-day,1680
7,2016-02-03 00:00:00,11,clear-day,1878
8,2016-02-09 00:00:00,15,clear-day,2172
9,2016-02-13 00:00:00,8,wind,1269
10,2016-02-25 00:00:00,10,cloudy,2164
11,2016-03-02 00:00:00,7,rain,1973
12,2016-05-16 00:00:00,15,wind,2062
13,2016-05-17 00:00:00,5,partly-cloudy-night,421
14,2016-06-16 00:00:00,14,cloudy,2284
15,2016-06-29 00:00:00,21,clear-night,1961
16,2016-01-07 00:00:00,7,clear-night,1653
17,2016-01-08 00:00:00,15,clear-day,2555
18,2016-01-21 00:00:00,11,clear-day,1903
19,2016-02-08 00:00:00,3,clear-night,494
20,2016-02-09 00:00:00,3,clear-night,267
21,2016-02-17 00:00:00,23,clear-night,2056
22,2016-02-18 00:00:00,12,clear-day,1975
23,2016-04-08 00:00:00,9,wind,2618
24,2016-04-11 00:00:00,21,clear-night,2181
25,2016-04-17 00:00:00,7,,727
26,2016-04-17 00:00:00,19,,3083
27,2016-04-29 00:00:00,19,clear-day,4382
28,2016-05-04 00:00:00,1,clear-night,734
29,2016-05-11 00:00:00,15,clear-day,2241
30,2016-05-13 00:00:00,22,,3422
31,2016-05-17 00:00:00,0,clear-night,1189
32,2016-06-04 00:00:00,16,clear-day,3218
33,2016-06-18 00:00:00,10,,1985
34,2016-06-12 00:00:00,19,wind,2520
35,2016-01-16 00:00:00,2,rain,2852
36,2016-02-04 00:00:00,13,cloudy,1983
37,2016-02-20 00:00:00,4,cloudy,1646
38,2016-02-29 00:00:00,15,partly-cloudy-day,2058
39,2016-03-04 00:00:00,0,clear-night,1862
40,2016-03-09 00:00:00,13,,2022
41,2016-03-20 00:00:00,17,partly-cloudy-day,2914
42,2016-04-01 00:00:00,22,partly-cloudy-night,3644
43,2016-04-02 00:00:00,5,cloudy,786
44,2016-04-15 00:00:00,1,clear-night,1352
45,2016-04-17 00:00:00,18,,3002
46,2016-04-23 00:00:00,6,clear-night,683
47,2016-04-28 00:00:00,13,clear-day,1800
48,2016-04-30 00:00:00,2,cloudy,2498
49,2016-05-08 00:00:00,18,wind,3145
50,2016-05-12 00:00:00,1,clear-night,999
51,2016-05-13 00:00:00,14,cloudy,2477
52,2016-05-20 00:00:00,12,clear-day,1856
53,2016-05-23 00:00:00,17,partly-cloudy-day,2597
54,2016-05-24 00:00:00,7,rain,1860
55,2016-05-30 00:00:00,10,clear-day,1063
56,2016-06-23 00:00:00,10,clear-day,1905
57,2016-06-17 00:00:00,7,clear-day,1618
58,2016-06-26 00:00:00,9,clear-day,1316
59,2016-06-30 00:00:00,17,wind,2831
60,2016-01-04 00:00:00,19,wind,3299
61,2016-01-05 00:00:00,22,clear-night,1836
62,2016-02-02 00:00:00,5,clear-night,353
63,2016-02-15 00:00:00,3,snow,927
64,2016-03-17 00:00:00,11,clear-day,1998
65,2016-03-20 00:00:00,21,clear-night,2451
66,2016-03-23 00:00:00,21,clear-night,2729
67,2016-04-18 00:00:00,10,clear-day,1884
68,2016-04-21 00:00:00,17,partly-cloudy-day,2937
69,2016-04-28 00:00:00,21,clear-night,2716
70,2016-05-23 00:00:00,2,clear-night,580
71,2016-05-24 00:00:00,6,rain,876
72,2016-06-13 00:00:00,10,clear-day,1694
73,2016-06-19 00:00:00,16,clear-day,2949
74,2016-06-11 00:00:00,6,clear-day,685
75,2016-01-06 00:00:00,16,clear-day,2443
76,2016-01-15 00:00:00,5,partly-cloudy-night,433
77,2016-01-22 00:00:00,18,clear-night,4319
78,2016-03-01 00:00:00,18,clear-night,3308
79,2016-03-02 00:00:00,5,rain,333
