,date,not_tip,count(date)
0,2014-01-23 00:00:00,False,4
1,2014-03-12 00:00:00,False,12882
2,2014-04-07 00:00:00,False,13093
3,2014-06-03 00:00:00,False,15654
4,2014-12-12 00:00:00,False,21172
5,2015-07-16 00:00:00,True,12246
6,2015-07-18 00:00:00,False,3109
7,2015-07-28 00:00:00,True,11644
8,2015-08-02 00:00:00,True,18667
9,2015-08-12 00:00:00,False,1912
10,2015-12-13 00:00:00,True,20798
11,2015-12-26 00:00:00,True,10014
12,2016-01-02 00:00:00,True,14268
13,2013-10-03 00:00:00,False,1379
14,2014-05-10 00:00:00,True,16343
15,2014-08-01 00:00:00,False,20138
16,2014-11-16 00:00:00,True,18583
17,2015-01-07 00:00:00,False,1985
18,2015-04-14 00:00:00,False,1777
19,2015-07-27 00:00:00,True,11057
20,2016-02-01 00:00:00,True,10898
21,2014-04-08 00:00:00,False,12195
22,2014-06-05 00:00:00,True,11604
23,2015-01-25 00:00:00,True,18545
24,2015-03-16 00:00:00,False,2018
25,2015-04-01 00:00:00,False,2326
26,2016-01-29 00:00:00,True,14316
27,2016-03-01 00:00:00,True,11874
28,2016-05-18 00:00:00,True,12275
29,2014-08-03 00:00:00,False,22664
30,2014-08-23 00:00:00,False,23722
31,2014-09-18 00:00:00,True,11699
32,2014-11-17 00:00:00,False,14687
33,2014-11-21 00:00:00,False,19873
34,2016-03-24 00:00:00,True,13890
35,2014-08-27 00:00:00,False,16492
36,2014-09-02 00:00:00,True,9443
37,2015-01-10 00:00:00,True,20850
38,2015-06-29 00:00:00,True,11133
39,2015-07-24 00:00:00,True,15435
40,2015-08-17 00:00:00,True,11396
41,2015-09-14 00:00:00,False,1736
42,2016-02-15 00:00:00,False,2120
43,2016-04-14 00:00:00,True,13514
44,2013-10-03 00:00:00,True,638
45,2014-02-16 00:00:00,False,14237
46,2014-03-13 00:00:00,True,7718
47,2014-08-07 00:00:00,True,11122
48,2015-04-09 00:00:00,False,2496
49,2015-07-19 00:00:00,True,20468
50,2016-06-12 00:00:00,True,16207
51,2014-02-01 00:00:00,True,4
52,2014-06-17 00:00:00,True,9282
53,2014-06-28 00:00:00,False,24972
54,2014-08-14 00:00:00,False,16426
55,2014-09-27 00:00:00,False,26278
56,2014-10-21 00:00:00,False,14750
57,2014-12-09 00:00:00,True,12541
58,2014-12-17 00:00:00,True,12958
59,2015-01-30 00:00:00,False,2415
60,2015-03-05 00:00:00,True,8233
61,2015-03-17 00:00:00,True,12783
62,2015-04-19 00:00:00,True,20120
63,2015-05-15 00:00:00,True,16234
64,2014-03-26 00:00:00,True,7872
65,2014-05-01 00:00:00,True,10229
66,2014-10-26 00:00:00,False,23296
67,2015-05-07 00:00:00,True,13690
68,2015-05-14 00:00:00,True,13888
69,2016-01-25 00:00:00,True,7865
70,2016-03-19 00:00:00,False,3264
71,2016-05-11 00:00:00,True,11021
72,2016-06-05 00:00:00,False,2366
73,2013-10-05 00:00:00,True,1047
74,2014-03-26 00:00:00,False,14418
75,2015-01-28 00:00:00,False,1663
76,2015-05-19 00:00:00,True,12358
77,2015-07-12 00:00:00,False,2667
78,2015-07-15 00:00:00,False,1948
79,2015-08-05 00:00:00,True,12326
80,2015-10-11 00:00:00,False,2506
81,2016-03-14 00:00:00,True,12007
82,2014-04-20 00:00:00,False,24364
83,2014-06-08 00:00:00,True,15352
84,2014-08-09 00:00:00,True,16806
85,2014-09-25 00:00:00,False,17482
86,2015-05-05 00:00:00,False,2017
87,2015-06-01 00:00:00,True,12595
88,2016-01-21 00:00:00,False,2048
89,2016-04-25 00:00:00,True,11606
90,2016-06-19 00:00:00,False,2607
