date,FALSE,TRUE,Grand Total
1/1/2015,0.1402,0.8598,1
1/2/2015,0.1513,0.8487,1
1/3/2015,0.1321,0.8679,1
1/4/2015,0.1313,0.8687,1
1/5/2015,0.1515,0.8485,1
1/6/2015,0.1388,0.8612,1
1/7/2015,0.134,0.866,1
1/8/2015,0.143,0.857,1
1/9/2015,0.136,0.864,1
1/10/2015,0.1212,0.8788,1
1/11/2015,0.1131,0.8869,1
1/12/2015,0.1301,0.8699,1
1/13/2015,0.1374,0.8626,1
1/14/2015,0.1312,0.8688,1
1/15/2015,0.1351,0.8649,1
1/16/2015,0.1364,0.8636,1
1/17/2015,0.1262,0.8738,1
1/18/2015,0.1153,0.8847,1
1/19/2015,0.1133,0.8867,1
1/20/2015,0.1256,0.8744,1
1/21/2015,0.1296,0.8704,1
1/22/2015,0.1341,0.8659,1
1/23/2015,0.1384,0.8616,1
1/24/2015,0.1101,0.8899,1
1/25/2015,0.1142,0.8858,1
1/26/2015,0.144,0.856,1
1/27/2015,0.1177,0.8823,1
1/28/2015,0.1315,0.8685,1
1/29/2015,0.1358,0.8642,1
1/30/2015,0.1417,0.8583,1
1/31/2015,0.1242,0.8758,1
2/1/2015,0.118,0.882,1
2/2/2015,0.1365,0.8635,1
2/3/2015,0.1492,0.8508,1
2/4/2015,0.147,0.853,1
2/5/2015,0.1401,0.8599,1
2/6/2015,0.1382,0.8618,1
2/7/2015,0.1284,0.8716,1
2/8/2015,0.1227,0.8773,1
2/9/2015,0.1388,0.8612,1
2/10/2015,0.1382,0.8618,1
2/11/2015,0.1438,0.8562,1
2/12/2015,0.1426,0.8574,1
2/13/2015,0.1521,0.8479,1
2/14/2015,0.1454,0.8546,1
2/15/2015,0.1263,0.8737,1
2/16/2015,0.131,0.869,1
2/17/2015,0.1475,0.8525,1
2/18/2015,0.1434,0.8566,1
2/19/2015,0.1487,0.8513,1
2/20/2015,0.1431,0.8569,1
2/21/2015,0.1224,0.8776,1
2/22/2015,0.1194,0.8806,1
2/23/2015,0.1502,0.8498,1
2/24/2015,0.1504,0.8496,1
2/25/2015,0.1469,0.8531,1
2/26/2015,0.148,0.852,1
2/27/2015,0.1542,0.8458,1
2/28/2015,0.1412,0.8588,1
3/1/2015,0.1305,0.8695,1
3/2/2015,0.1515,0.8485,1
3/3/2015,0.1478,0.8522,1
3/4/2015,0.1371,0.8629,1
3/5/2015,0.1462,0.8538,1
3/6/2015,0.1465,0.8535,1
3/7/2015,0.1327,0.8673,1
3/8/2015,0.1326,0.8674,1
3/9/2015,0.1545,0.8455,1
3/10/2015,0.1529,0.8471,1
3/11/2015,0.1572,0.8428,1
3/12/2015,0.1579,0.8421,1
3/13/2015,0.1543,0.8457,1
3/14/2015,0.1332,0.8668,1
3/15/2015,0.131,0.869,1
3/16/2015,0.1536,0.8464,1
3/17/2015,0.1545,0.8455,1
3/18/2015,0.1538,0.8462,1
3/19/2015,0.1533,0.8467,1
3/20/2015,0.1481,0.8519,1
3/21/2015,0.1336,0.8664,1
3/22/2015,0.1352,0.8648,1
3/23/2015,0.1503,0.8497,1
3/24/2015,0.1492,0.8508,1
3/25/2015,0.143,0.857,1
3/26/2015,0.1463,0.8537,1
3/27/2015,0.1447,0.8553,1
3/28/2015,0.1329,0.8671,1
3/29/2015,0.134,0.866,1
3/30/2015,0.154,0.846,1
3/31/2015,0.146,0.854,1
4/1/2015,0.1528,0.8472,1
4/2/2015,0.1445,0.8555,1
4/3/2015,0.149,0.851,1
4/4/2015,0.1399,0.8601,1
4/5/2015,0.1351,0.8649,1
4/6/2015,0.1492,0.8508,1
