,RateCodeID,icon,count
0,5,cloudy,55746
1,3,wind,1858
2,6,partly-cloudy-night,98
3,1,wind,2286406
4,6,clear-day,538
5,99,snow,3
6,5,clear-night,272101
7,2,snow,1126
8,2,partly-cloudy-day,23070
9,5,clear-day,323079
10,6,wind,67
11,5,partly-cloudy-night,65725
12,3,fog,457
13,6,partly-cloudy-day,209
14,4,wind,969
15,6,snow,8
16,99,clear-night,90
17,1,clear-day,12618697
18,6,cloudy,73
19,99,rain,15
20,1,rain,2893557
21,2,rain,9479
22,5,snow,7698
23,99,cloudy,6
24,1,cloudy,2354924
25,99,wind,15
26,2,clear-night,31294
27,3,snow,287
28,4,partly-cloudy-night,1591
29,4,cloudy,1141
30,1,partly-cloudy-night,3145447
31,4,rain,1278
32,5,partly-cloudy-day,133523
33,2,wind,7808
34,99,clear-day,392
35,99,partly-cloudy-night,5
36,6,rain,79
37,4,clear-day,6026
38,1,partly-cloudy-day,5545763
39,1,clear-night,13043136
40,2,clear-day,53740
41,1,fog,437926
42,4,clear-night,6458
43,3,rain,2352
44,3,partly-cloudy-night,1969
45,4,snow,127
46,3,clear-day,13087
47,6,clear-night,325
48,2,fog,1811
49,5,wind,48986
50,4,fog,236
51,99,fog,1
52,2,cloudy,8126
53,3,clear-night,7814
54,3,partly-cloudy-day,5630
55,3,cloudy,1995
56,5,rain,64073
57,2,partly-cloudy-night,7468
58,6,fog,23
59,5,fog,12714
60,99,partly-cloudy-day,99
61,4,partly-cloudy-day,2640
62,1,snow,335877
