,RateCodeID,icon,weekofday,count
0,1,clear-night,0,1330997
1,99,partly-cloudy-day,6,3
2,1,rain,4,375977
3,4,clear-night,5,1474
4,3,cloudy,0,265
5,5,partly-cloudy-day,1,18860
6,4,partly-cloudy-day,5,413
7,2,partly-cloudy-day,5,2941
8,2,wind,1,994
9,5,partly-cloudy-day,6,15620
10,2,partly-cloudy-night,3,1010
11,4,fog,5,40
12,2,partly-cloudy-day,6,3183
13,1,partly-cloudy-night,2,294008
14,4,cloudy,6,97
15,2,cloudy,4,1402
16,4,wind,6,153
17,5,clear-day,6,35785
18,4,clear-night,6,1291
19,6,clear-night,3,35
20,4,cloudy,1,126
21,99,wind,6,2
22,5,partly-cloudy-day,4,21832
23,5,clear-night,6,44872
24,2,wind,4,1166
25,3,fog,4,64
26,3,cloudy,3,373
27,3,rain,6,198
28,99,wind,4,2
29,3,snow,6,70
30,6,wind,4,9
31,6,fog,1,1
32,1,snow,0,81200
33,1,partly-cloudy-day,3,840885
34,4,cloudy,0,154
35,6,rain,2,7
36,5,fog,2,2196
37,5,wind,5,5976
38,5,fog,0,2312
39,3,partly-cloudy-night,1,252
40,6,cloudy,3,9
41,99,snow,0,1
42,4,clear-day,2,847
43,99,wind,3,1
44,3,clear-day,0,1807
45,3,clear-night,3,1108
46,6,wind,6,13
47,99,partly-cloudy-day,1,3
48,1,partly-cloudy-night,5,718950
49,3,partly-cloudy-night,4,374
50,2,partly-cloudy-night,0,900
51,2,wind,5,914
52,4,partly-cloudy-day,1,321
53,4,rain,6,140
54,3,snow,0,100
55,99,partly-cloudy-day,2,8
56,2,snow,1,138
57,3,fog,6,42
58,3,wind,3,298
59,2,rain,5,1396
60,1,snow,6,88110
61,6,clear-night,1,34
62,4,partly-cloudy-night,0,163
63,99,snow,1,2
64,5,clear-day,2,46989
65,1,clear-night,3,1684968
66,5,wind,1,7192
67,1,cloudy,1,283491
68,99,partly-cloudy-day,3,71
69,3,snow,4,26
70,1,clear-night,5,2851525
71,1,clear-night,6,2367612
72,1,wind,2,294922
73,3,snow,5,28
74,2,clear-day,5,7300
75,4,wind,0,101
76,6,partly-cloudy-day,6,18
77,3,partly-cloudy-day,0,807
78,6,partly-cloudy-day,0,34
79,4,fog,1,34
80,5,wind,6,7790
81,99,clear-night,1,7
