,hour,Holiday,count
0,15,0,2122638
1,7,1,19845
2,4,1,29563
3,9,0,1735232
4,5,1,19738
5,7,0,1153498
6,0,1,61371
7,1,1,53340
8,10,0,1625990
9,8,1,24830
10,2,0,1153240
11,14,0,1906206
12,16,1,57447
13,11,1,33577
14,0,0,1978379
15,8,0,1694778
16,21,0,2481160
17,18,0,2830568
18,17,1,59435
19,10,1,30289
20,23,1,47994
21,5,0,482144
22,22,1,53235
23,13,1,40541
24,17,0,2565286
25,3,1,34086
26,20,1,58379
27,15,1,53414
28,21,1,55534
29,9,1,28624
30,12,1,36964
31,11,0,1606909
32,3,0,888919
33,18,1,64247
34,16,0,2318876
35,22,0,2397283
36,2,1,42247
37,6,0,608610
38,6,1,17421
39,23,0,2238239
40,1,0,1555075
41,14,1,46015
42,12,0,1635399
43,19,0,2825566
44,13,0,1675961
45,20,0,2598863
46,4,0,737572
47,19,1,62734
