,hour,icon,count
0,5,cloudy,49533
1,11,wind,94334
2,3,wind,23886
3,6,partly-cloudy-night,40247
4,1,wind,49389
5,17,snow,24495
6,10,clear-day,991315
7,6,clear-day,133562
8,19,wind,215149
9,23,fog,22840
10,0,partly-cloudy-night,121637
11,18,fog,13966
12,19,snow,22384
13,5,clear-night,272275
14,2,snow,6441
15,17,clear-night,420603
16,6,wind,17770
17,18,partly-cloudy-day,301513
18,9,clear-day,1327680
19,16,snow,24708
20,5,partly-cloudy-night,115992
21,14,snow,16532
22,3,fog,12589
23,9,partly-cloudy-day,166844
24,6,partly-cloudy-day,20333
25,22,clear-night,1560061
26,13,cloudy,133475
27,17,partly-cloudy-day,905530
28,4,wind,17848
29,20,cloudy,203703
30,10,fog,27231
31,17,fog,11877
32,22,partly-cloudy-night,423405
33,18,snow,28635
34,6,snow,2988
35,15,fog,24241
36,16,cloudy,175176
37,8,snow,19175
38,13,snow,12796
39,0,snow,11150
40,16,rain,156184
41,7,clear-day,543360
42,22,rain,166391
43,21,clear-night,2017968
44,20,clear-day,152787
45,11,clear-day,746435
46,17,partly-cloudy-night,51810
47,1,rain,95079
48,20,rain,184372
49,2,rain,80480
50,22,cloudy,161201
51,5,snow,4270
52,13,clear-day,878511
53,19,fog,22119
54,10,snow,22071
55,11,partly-cloudy-day,491925
56,22,fog,26758
57,0,wind,66229
58,8,rain,126672
59,18,wind,230322
60,18,clear-day,1168652
61,8,clear-day,833347
62,16,wind,176070
63,16,clear-day,1172705
64,1,cloudy,134116
65,20,partly-cloudy-night,466200
66,19,rain,192590
67,2,clear-night,681775
68,19,clear-day,987731
69,12,clear-day,1240061
70,0,fog,11801
71,3,snow,4822
72,22,snow,9421
73,20,partly-cloudy-day,285988
74,4,partly-cloudy-night,136924
75,7,rain,81662
76,16,partly-cloudy-day,647698
77,20,wind,152963
78,21,rain,191895
79,4,cloudy,59194
80,23,clear-night,1252506
81,12,wind,85031
82,1,partly-cloudy-night,228487
83,4,rain,54604
84,14,clear-day,779118
85,12,fog,14681
86,9,wind,75698
87,11,fog,15617
88,2,wind,42384
89,7,cloudy,93383
90,23,cloudy,210997
91,19,partly-cloudy-night,377442
92,16,fog,23782
93,12,partly-cloudy-day,209643
94,6,rain,43950
95,11,cloudy,172450
96,23,rain,157240
97,8,fog,40991
98,10,wind,66971
99,1,clear-night,1075618
100,15,rain,134332
101,10,cloudy,119225
102,14,fog,16210
103,19,partly-cloudy-day,228612
104,12,rain,109003
105,11,snow,12481
106,19,cloudy,244853
107,14,rain,119912
108,23,wind,90595
109,18,partly-cloudy-night,84986
110,7,clear-night,183655
111,1,fog,16859
112,21,snow,15064
113,19,clear-night,597420
114,7,partly-cloudy-night,86053
115,4,clear-night,479782
116,3,rain,53058
117,3,partly-cloudy-night,107062
118,4,snow,6655
119,17,cloudy,205437
120,13,fog,15417
121,17,wind,216774
122,18,rain,198271
123,10,partly-cloudy-day,317167
124,0,rain,134539
125,15,partly-cloudy-day,340956
126,13,rain,101108
127,23,snow,10522
128,12,snow,13944
129,9,snow,20276
130,15,clear-day,1469609
131,14,wind,133239
132,13,partly-cloudy-day,495264
133,6,clear-night,355125
134,20,snow,16516
135,7,snow,9562
136,21,wind,121626
137,9,rain,135772
138,21,fog,10124
139,20,fog,14735
140,17,rain,197509
141,23,partly-cloudy-night,541533
142,14,cloudy,183098
143,9,fog,37586
144,18,clear-night,868470
145,2,fog,13048
146,13,wind,79931
147,20,clear-night,1179978
148,21,partly-cloudy-night,180017
149,22,wind,103281
150,5,wind,13712
151,15,wind,185563
152,7,wind,35337
153,15,snow,21351
154,17,clear-day,590686
155,4,fog,12128
156,14,partly-cloudy-day,704112
157,3,clear-night,721588
158,10,rain,112299
159,2,cloudy,110851
160,7,partly-cloudy-day,113252
161,8,cloudy,165319
162,5,rain,36667
163,2,partly-cloudy-night,260508
164,6,fog,12056
165,5,fog,9433
166,8,wind,52007
167,7,fog,27079
168,8,partly-cloudy-day,482097
169,1,snow,8867
170,11,rain,107244
171,0,clear-night,1694394
