,year,weekofday,hour,count
0,2013,4,10,7375
1,2013,5,3,6472
2,2013,6,0,11303
3,2013,5,11,6513
4,2013,6,14,7959
5,2014,2,15,111348
6,2014,5,16,144549
7,2016,3,6,20348
8,2015,5,12,123411
9,2013,3,20,10511
10,2014,2,23,102112
11,2014,6,10,65778
12,2015,4,14,123163
13,2016,5,4,38824
14,2016,2,18,85477
15,2016,1,19,76073
16,2014,3,8,102175
17,2015,4,18,213827
18,2016,5,15,73793
19,2016,3,11,49509
20,2015,2,16,140257
21,2013,3,4,2015
22,2014,0,14,87485
23,2015,0,0,86861
24,2015,2,17,157666
25,2016,3,18,90287
26,2013,2,17,10240
27,2013,6,1,10899
28,2014,0,11,76012
29,2015,2,15,128312
30,2014,3,22,128299
31,2015,5,17,184776
32,2015,2,11,100351
33,2016,2,0,33619
34,2013,5,13,7566
35,2014,2,2,28648
36,2014,0,19,120857
37,2013,3,2,2470
38,2014,5,11,88185
39,2015,3,15,136857
40,2015,4,22,213751
41,2016,6,21,61167
42,2014,4,1,68302
43,2016,5,17,85269
44,2016,2,6,19372
45,2013,0,12,7253
46,2015,5,8,65781
47,2015,0,4,29708
48,2015,0,12,93198
49,2016,3,1,26290
50,2016,3,20,78783
51,2013,5,21,11856
52,2014,2,19,152165
53,2014,2,21,128043
54,2014,3,19,152663
55,2013,6,17,9361
56,2015,0,6,39865
57,2013,2,9,7042
58,2013,6,18,9454
59,2014,4,20,178793
60,2014,0,8,95473
61,2015,3,3,33869
62,2015,1,2,27238
63,2013,5,7,3068
64,2015,4,8,125892
65,2016,5,19,101292
66,2013,3,5,1696
67,2014,3,15,110686
68,2013,5,1,9375
69,2015,4,11,106134
70,2015,2,21,144953
71,2013,6,22,6781
72,2014,5,23,196332
73,2014,0,12,75989
74,2014,4,8,98622
75,2014,4,11,86447
76,2014,0,0,72758
77,2015,2,6,38238
78,2013,3,22,8488
79,2014,0,1,48519
80,2015,4,20,209246
81,2016,0,14,52231
82,2016,0,15,57350
83,2014,1,5,16776
84,2015,5,9,87883
85,2016,0,1,24963
86,2014,4,13,85031
87,2014,6,7,29034
88,2014,6,14,105384
89,2015,6,10,87146
90,2015,3,5,25728
91,2015,2,2,32764
92,2014,3,7,67757
93,2014,6,17,126938
94,2015,6,9,66606
95,2015,1,17,147462
96,2014,3,5,18511
97,2014,1,7,65735
98,2016,3,16,70255
99,2013,5,15,9484
100,2015,4,9,125649
101,2016,3,10,52521
102,2015,5,7,46595
103,2015,0,18,150262
104,2013,0,2,2319
105,2014,4,5,20912
106,2014,0,4,25501
107,2015,4,6,40993
108,2015,1,19,161745
109,2013,0,16,10130
110,2013,5,9,5289
111,2014,3,3,23489
112,2014,5,18,172229
113,2013,2,4,2009
114,2014,5,4,79164
115,2015,4,3,39324
116,2016,3,2,16104
117,2013,3,6,2594
118,2014,5,15,131795
119,2014,6,20,120220
120,2015,3,19,189877
121,2015,1,4,20431
122,2016,1,8,65677
123,2013,0,20,9115
124,2014,5,10,78446
125,2014,1,15,103324
126,2015,1,10,104152
127,2013,4,16,11480
128,2013,6,23,5647
129,2014,4,12,84780
130,2015,3,18,191381
131,2016,1,14,54059
132,2013,0,17,10469
133,2015,6,20,144307
134,2013,4,22,11884
